#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Legendary #;;;;;;;;;;;;;;
aluneth;Aluneth;Aluneth;Aluneth;;;;;;;;;;;x
horn_of_cenarius_desc;This ancient relic of the Night Elves is said to hold the power to call the spirits of all Night Elves.;On dit que cette ancienne relique des Elfes de la nuit détient le pouvoir d'appeler les esprits de tous leurs semblables.;Diese alte Reliquie der Nachtelfen soll die Macht haben, die Geister aller Nachtelfen zu rufen.;;;;;;;;;;;x
libram_of_compassion;Libram of Compassion;Libram de compassion;Foliant der Barmherzigkeit;;;;;;;;;;;x
libram_of_compassion_desc;This libram is among the church's most ancient relics. It was given to Gavinrad by Alonsus Faol, who challenged him to become the living embodiment of what this holy tome represents.;Ce libram est l'une des plus anciennes reliques de l'Église. Elle a été donnée à Gavinrad par Alonsus Faol, qui l'a mis au défi de devenir l'incarnation vivante de ce que représente ce saint tome.;Dieser Foliant zählt zu den ältesten Relikten der Kirche. Es wurde Gavinrad von Alonsus Faol gegeben, der ihn dazu aufforderte, die lebendige Verkörperung dessen zu werden, was dieser heilige Band darstellt.;;;;;;;;;;;x
libram_of_compassion_key;This libram is among the church's most ancient relics. It was given to [Prev.GetDynName] by [libram_giver.GetDynName], who challenged [Prev.GetHerHim] to become the living embodiment of what this holy tome represents.;Ce libram est l'une des plus anciennes reliques de l'Église. Il a été donné à [Prev.GetDynName] par [libram_giver.GetDynName], qui a l'a mis au défi de devenir l'incarnation vivante de ce que représente ce saint tome.;Dieser Foliant zählt zu den ältesten Relikten der Kirche. Er wurde [Prev.GetDynName] von [libram_giver.GetDynName] geschenkt, der [Prev.Getihnsie] dazu aufrief, die Verkörperung dessen, was dieser heilige Band darstellt, zu werden.;;;;;;;;;;;x
libram_of_holiness;Libram of Holiness;Libram de sainteté;Foliant der Heiligkeit;;;;;;;;;;;x
libram_of_holiness_desc;This libram is among the church's most ancient relics. It was given to Saidan Dathrohan by Alonsus Faol, who challenged him to become the living embodiment of what this holy tome represents.;Ce libram est l'une des plus anciennes reliques de l'Église. Il a été donné à Saiden Dathrohan par Alonsus Faol, qui a l'a mis au défi de devenir l'incarnation vivante de ce que représente ce saint tome.;Dieser Foliant zählt zu den ältesten Relikten der Kirche. Es wurde Saidan Dathrohan von Alonsus Faol gegeben, der ihn dazu aufforderte, die lebendige Verkörperung dessen zu werden, was dieser heilige Band darstellt.;;;;;;;;;;;x
libram_of_holiness_key;This libram is among the church's most ancient relics. It was given to [Prev.GetDynName] by [libram_giver.GetDynName], who challenged [Prev.GetHerHim] to become the living embodiment of what this holy tome represents.;Ce libram est l'une des plus anciennes reliques de l'Église. Il a été donné à [Prev.GetDynName] par [libram_giver.GetDynName], qui a l'a mis au défi de devenir l'incarnation vivante de ce que représente ce saint tome.;Dieser Foliant zählt zu den ältesten Relikten der Kirche. Er wurde [Prev.GetDynName] von [libram_giver.GetDynName] geschenkt, der [Prev.Getihnsie] dazu aufrief, die Verkörperung dessen, was dieser heilige Band darstellt, zu werden.;;;;;;;;;;;x
libram_of_justice;Libram of Justice;Libram de justice;Foliant der Gerechtigkeit;;;;;;;;;;;x
libram_of_justice_desc;This libram is among the church's most ancient relics. It was given to Uther by Alonsus Faol, who challenged him to become the living embodiment of what this holy tome represents.;Ce libram est l'une des plus anciennes reliques de l'Église. Il a été donné à Uther par Alonsus Faol, qui a l'a mis au défi de devenir l'incarnation vivante de ce que représente ce saint tome.;Dieser Foliant zählt zu den ältesten Relikten der Kirche. Es wurde Uther von Alonsus Faol überreicht, der ihn dazu aufforderte, die lebendige Verkörperung dessen zu werden, was dieser heilige Band darstellt.;;;;;;;;;;;x
libram_of_justice_key;This libram is among the church's most ancient relics. It was given to [Prev.GetDynName] by [libram_giver.GetDynName], who challenged [Prev.GetHerHim] to become the living embodiment of what this holy tome represents.;Ce libram est l'une des plus anciennes reliques de l'Église. Il a été donné à [Prev.GetDynName] par [libram_giver.GetDynName], qui a l'a mis au défi de devenir l'incarnation vivante de ce que représente ce saint tome.;Dieser Foliant zählt zu den ältesten Relikten der Kirche. Er wurde [Prev.GetDynName] von [libram_giver.GetDynName] geschenkt, der [Prev.Getihnsie] dazu aufrief, die Verkörperung dessen, was dieser heilige Band darstellt, zu werden.;;;;;;;;;;;x
libram_of_protection;Libram of Protection;Libram de protection;Foliant des Schutzes;;;;;;;;;;;x
libram_of_protection_desc;This libram is among the church's most ancient relics. It was given to Turalyon by Alonsus Faol, who challenged him to become the living embodiment of what this holy tome represents.;Ce libram est l'une des plus anciennes reliques de l'Église. Il a été donné à Turalyon par Alonsus Faol, qui a l'a mis au défi de devenir l'incarnation vivante de ce que représente ce saint tome.;Dieser Foliant zählt zu den ältesten Relikten der Kirche. Er wurde Turalyon von Alonsus Faol geschenkt, der ihn dazu aufrief, die Verkörperung dessen, was dieser heilige Band darstellt, zu werden.;;;;;;;;;;;x
libram_of_protection_key;This libram is among the church's most ancient relics. It was given to [Prev.GetDynName] by [libram_giver.GetDynName], who challenged [Prev.GetHerHim] to become the living embodiment of what this holy tome represents.;Ce libram est l'une des plus anciennes reliques de l'Église. Il a été donné à [Prev.GetDynName] par [libram_giver.GetDynName], qui a l'a mis au défi de devenir l'incarnation vivante de ce que représente ce saint tome.;Dieser Foliant zählt zu den ältesten Relikten der Kirche. Er wurde [Prev.GetDynName] von [libram_giver.GetDynName] geschenkt, der [Prev.Getihnsie] dazu aufrief, die Verkörperung dessen, was dieser heilige Band darstellt, zu werden.;;;;;;;;;;;x
libram_of_retribution;Libram of Retribution;Libram de vindicte;Foliant der Vergeltung;;;;;;;;;;;x
libram_of_retribution_desc;This libram is among the church's most ancient relics. It was given to Tirion Fordring by Alonsus Faol, who challenged him to become the living embodiment of what this holy tome represents.;Ce libram est l'une des plus anciennes reliques de l'Église. Il a été donné à Tirion Fordring par Alonsus Faol, qui a l'a mis au défi de devenir l'incarnation vivante de ce que représente ce saint tome.;Dieser Foliant zählt zu den ältesten Relikten der Kirche. Es wurde Tirion Fordring von Alonsus Faol überreicht, der ihn dazu aufforderte,  die lebendige Verkörperung dessen zu werden, was dieser heilige Band darstellt.;;;;;;;;;;;x
libram_of_retribution_key;This libram is among the church's most ancient relics. It was given to [Prev.GetDynName] by [libram_giver.GetDynName], who challenged [Prev.GetHerHim] to become the living embodiment of what this holy tome represents.;Ce libram est l'une des plus anciennes reliques de l'Église. Il a été donné à [Prev.GetDynName] par [libram_giver.GetDynName], qui a l'a mis au défi de devenir l'incarnation vivante de ce que représente ce saint tome.;Dieser Foliant zählt zu den ältesten Relikten der Kirche. Er wurde [Prev.GetDynName] von [libram_giver.GetDynName] geschenkt, der [Prev.Getihnsie] dazu aufrief, die Verkörperung dessen, was dieser heilige Band darstellt, zu werden.;;;;;;;;;;;x
orb_of_kiljaeden;Orb of Kil'jaeden;Orbe de Kil'jaeden;Kugel von Kil'jaeden;;;;;;;;;;;x
orb_of_kiljaeden_desc;Crafted by the demon lord Kil'jaeden, this orb was meant for his champion to aid them in destroying the Lich King.;Fabriqué par le seigneur démoniaque Kil'jaeden, cet orbe était destiné à son champion pour l'aider à détruire le roi-liche.;Diese vom Dämonenfürsten Kil'jaeden geschaffene Kugel ist für seinen Champion bestimmt, um den Lichkönig zu vernichten.;;;;;;;;;;;x
scepter_of_sargeras;Scepter of Sargeras;Sceptre de Sargeras;Szepter des Sargeras;;;;;;;;;;;x
scepter_of_sargeras_desc;This unholy scepter once belonged to the dark titan Sargeras. After his fall, it lay in the depths of his tomb for centuries. It has the power to rip open dimensional gateways between worlds, if placed in gifted hands.;Ce sceptre impie appartenait autrefois au Titan noir Sargeras. Après sa chute, il est resté dans les profondeurs de sa tombe pendant des siècles. Il a le pouvoir d'ouvrir des portes dimensionnelles entre les mondes, s'il est placé entre des mains douées.;Dieses unheilige Szepter gehörte einst dem dunklen Titanen Sargeras. Nach seinem Fall lag es jahrhundertelang in den Tiefen seines Grabes. Es hat die Macht, dimensionale Portale zwischen den Welten aufzubrechen, wenn es in begabten Händen liegt.;;;;;;;;;;;x
scythe_of_elune;Scythe of Elune;Faux d'Élune;Elunes Sense;;;;;;;;;;;x
scythe_of_elune_desc;The scythe of Elune is an ancient artifact covered with mystical runes consisting of Goldrinn's fang and the staff of Elune. ;La faux d'Élune est un artefact mystique créé à partir du croc de Goldrinn et du bâton d'Élune.;Die Sense von Elune ist ein uraltes, mit mystisches Runen übersätes Artefakt, das aus Goldrinns Reißzahn und dem Stab von Elune besteht. ;;;;;;;;;;;x
serathil;Serathil;Serathil;Serathil;;;;;;;;;;;x
serathil_desc;Serathil was crafted on Draenor for Kash'drakor and used in the Blood River war that ended with the annihilation of the Dark Scar clan.;Serathil a été fabriqué sur Draenor pour Kash'drakor et utilisé dans la guerre de la Rivière sanglante qui s'est terminée par l'anéantissement du clan Cicatrice-noire.;Serathil wurde auf Draenor für Kash'drakor gefertigt und im Blood River-Krieg verwendet, der mit der Vernichtung des Dark Scar-Clans endete.;;;;;;;;;;;x
shadow_orb;Shadow Orb;Orbre sombre;Schattenkugel;;;;;;;;;;;x
shadow_orb_desc;The Shadow Orb is a magical artifact created by the orcish Shadow Council and presented to Gul'dan. Excessive use of this powerful tool can drive weaker souls into madness.;L'orbe sombre est un artefact magique créé par le conseil des Ombres et présenté à Gul'dan. L'utilisation excessive de ce puissant outil peut conduire les âmes les plus faibles à la folie.;Die Schattenkugel ist ein magisches Artefakt, das vom orkischen Schattenrat geschaffen und Gul'dan überreicht wurde. Übermäßiges Verwenden dieses mächtigen Werkzeugs kann schwächere Seelen in den Wahnsinn treiben.;;;;;;;;;;;x
skull_of_guldan;Skull of Guldan;Crâne de Gul'dan;Schädel des Guldan;;;;;;;;;;;x
skull_of_guldan_desc;The Skull of Gul'dan is a powerful demonic artifact created from the skull of the orc warlock Gul'dan.;Le crâne de Gul'dan est un puissant artefact démoniaque créé à partir du crâne du sorcier orc éponyme.;Der Schädel des Gul'dan ist ein mächtiges dämonisches Artefakt, das aus dem Schädel des Ork-Hexenmeisters Gul'dan geschaffen wurde.;;;;;;;;;;;x
sulfuras;Sulfuras, Hand of Ragnaros;Sulfuras, Main de Ragnaros;Sulfuras, Hand von Ragnaros;;;;;;;;;;;x
sulfuras_desc;Sulfuras is the mighty weapon of Ragnaros, the fire lord, forged from red elementium. Complicated runes cover the surface of the weapon like flowing lava.;Sulfuras est la puissante arme de Ragnaros, le Seigneur du Feu, forgée à partir d'élémentium rouge. Des runes complexes couvrent la surface de l'arme comme de la lave en mouvement.;Sulfuras ist die mächtige, aus rotem Elementium geschmiedete, Waffe von Ragnaros, dem Feuerlord. Komplizierte Runen überziehen wie fließende Lava die Oberfläche der Waffe.;;;;;;;;;;;x
the_silver_hand;Silver Hand;Main-d'Argent;Silberhand;;;;;;;;;;;x
the_silver_hand_desc;Tyr himself wielded this weapon in countless battles against the enemies of the Titans. He sacrificed his life to cover the escape of his comrades.;Tyr lui-même a manié cette arme dans d'innombrables batailles contre les ennemis des Titans. Il a sacrifié sa vie pour couvrir la fuite de ses camarades.;Tyr selbst führte diese Waffe in unzähligen Kämpfen gegen die Feinde der Titanen. Er opferte sein Leben, um die Flucht seiner Kameraden zu decken.;;;;;;;;;;;x
thunderfury;Thunderfury;Lame-tonnerre;Thunderfury;;;;;;;;;;;x
thunderfury_desc;Thunderfury, the blessed Blade of the Windseeker.;Lame-tonnerre, l'épée bénie du Cherchevent.;Thunderfury, die gesegnete Klinge des Windsuchers.;;;;;;;;;;;x
trolkalar;Trol'kalar;Trol'kalar;Trol'kalar;;;;;;;;;;;x
trolkalar_desc;The legendary sword of Ignaeus Trollbane, the great general of the Arathorian Empire, which later became the regalia of the Trollbane family. The glory of the sword lies in its ability to deal with any troll with just a couple of strokes.;L'épée légendaire d'Ignace Trollemort, le grand général de l'Empire arathorien, qui devint plus tard l'emblème de sa famille. La gloire de l'épée réside dans sa capacité à occire n'importe quel troll en seulement quelques coups.;Das legendäre Schwert von Ignaeus Trollbane, dem großen General des arathorischen Reiches, das später zum Ornat der Trollbanes wurde. Die Herrlichkeit des Schwertes liegt in seiner Fähigkeit, mit nur wenigen Hieben mit jedem Troll fertig zu werden.;;;;;;;;;;;x
twilight_canticle;Twilight Canticle;Cantique du Crépuscule;Loblied des Zwielichts;;;;;;;;;;;x
twilight_canticle_desc;This book contains inscrutable knowledge about the Void and the Old Gods. The pages are made of the flesh and skin of faithful followers, who gave their lives for the sake of the will of their lords.;Ce livre contient un savoir considérable sur le Vide et les Dieux très anciens. Les pages sont faites de la chair et de la peau des fidèles disciples qui ont donné leur vie pour la volonté de leurs maîtres.;Dieses Buch enthält unergründliches Wissen über die Leere und die alten Götter. Die Seiten sind aus der Haut und dem Fleisch treuer Anhänger gemacht, die ihr Leben für den Willen ihrer Herren gegeben haben.;;;;;;;;;;;x
xalatath;Xal'atath, Blade of the Black Empire;Xal'atath, lame de l'Empire noir;Xal'atath, Klinge des schwarzen Imperiums;;;;;;;;;;;x
xalatath_desc;Nobody knows exactly when this blade was created, but according to legend it was used for sacrifices in ancient times. It drips with void magic and its quiet whispering attacks those with weak minds.;Personne ne sait exactement quand cette lame a été créée, mais selon la légende, elle était utilisée pour les sacrifices des temps anciens. Elle dégouline de magie du Vide et ses murmures silencieux attaquent les esprits faibles.;Niemand weiß genau, wann diese Klinge geschaffen wurde, aber den Sagen zufolge wurde sie offenbar in alten Zeiten für Opferungen verwendet. Sie trieft vor Leeren-Magie und ihr leises Flüstern befällt diejenigen mit einem schwachen Verstand.;;;;;;;;;;;x
twin_blades_of_azzinoth;Twin Blades of Azzinoth;Lames jumelles d'Azzinoth;Kriegsgleven von Azzinoth;;;;;;;;;;;x
twin_blades_of_azzinoth_desc;These twin-blades formerly belonged to Azzinoth, the leader of the doomguard, who was slain by Illidan 10,000 years ago. They are usually connected, but can be seperated and used as two weapons.;Ces lames jumelles appartenaient autrefois à Azzinoth, le chef de la Garde funeste, qui a été tué par Illidan il y a 10 000 ans. Elles sont généralement reliées, mais peuvent être séparées et utilisées comme deux armes.;Diese Doppelklingen gehörten einst Azzinoth, dem Anführer der Schreckenswache, der vor 10.000 Jahren von Illidan getötet wurde. Normalerweise sind sie verbunden, können aber getrennt und als zwei Waffen benutzt werden.;;;;;;;;;;;x
gorehowl;Gorehowl;Hurlesang;Blutschrei;;;;;;;;;;;x
gorehowl_desc;A massive axe wielded by Grommash Hellscream of the Warsong Clan. It is permanently stained with the blood of the warrior's fallen enemies. Small holes and notches that dot the blade make it "sing" when swung.;Une hache massive maniée par Grommash Hurlenfer du clan Chanteguerre. Elle est tachée en permanence par le sang des ennemis tombés au combat du guerrier. Les petits trous et les encoches qui parsèment la lame la font « chanter » lorsqu'on la balance.;Eine riesige von Grommash Hellscream des Warsong-Clans benutzte Axt. Sie ist permanent mit dem Blut gefallener Opfer des Kriegers besudelt. Kleine Löcher und Einkerbungen an der Klinge lassen die Axt „singen“ wenn sie geschwungen wird.;;;;;;;;;;;x
warblade_of_archimonde;Warblade of Archimonde;Lame de guerre d'Archimonde;Kriegsklinge von Archimonde;;;;;;;;;;;x
warblade_of_archimonde_desc;This humongous warblade belongs to Archimonde the Defiler, Lord of the Burning Legion. Countless worlds were conquered by the might of this blade and its owner.;Cette énorme lame de guerre appartient à Archimonde le Profanateur, seigneur de la Légion ardente. D'innombrables mondes ont été conquis par la puissance de cette lame et de son propriétaire.;Diese gigantische Kriegsklinge gehört Archimonde dem Entweiher, dem Herrn der brennenden Legion. Unzählige Welten wurden durch die Macht dieser Klinge und ihres Besitzers erobert.;;;;;;;;;;;x
# Epic #;;;;;;;;;;;;;;
blightreaper;Blightreaper;;Seuchenschnitter;;;;;;;;;;;x
blightreaper_desc;This scythe, infused with magic, causes death and destruction to befall the enemy, so that the kingdom may be rid of all invaders.;;Diese mit Magie durchwirkte Sense lässt Tod und Verderben über die Feinde hereinbrechen. Auf dass das Königreich von sämtlichen Eindringlingen befreit werde.;;;;;;;;;;;x
chalice_of_trollbanes;Ignaeus' Chalice;Calice d'Ignaeus;Ignaeus Kelch;;;;;;;;;;;x
chalice_of_trollbanes_desc;Now a cherished relic of the Trollbanes', which, according to legend, Ignaeus Trollbane drank from when he feasted with the great king Thoradin himself after the defeat of the Amani Empire.;La famille Trollemort chérit cette relique dans laquelle, selon la légende, Ignace Trollemort a bu lorsqu'il a festoyé avec le grand roi Thoradin lui-même après la défaite de l'Empire amani.;Nun eine gehegte Reliquie der Trollbanes, aus der Ignaeus Trollbane laut Legende trank, als er nach der Niederlage des Amani-Reiches mit dem großen König Thoradin selbst speiste.;;;;;;;;;;;x
eluntara;Elun'tara;Elun'tara;Elun'tara;;;;;;;;;;;x
eluntara_desc;This longbow, which Tyrande carried throughout the ages, never abandoned her to bring justice to those who stood against her.;;Dieser Langbogen, den Tyrande durch die Jahrhunderte hindurch führte, ließ sie nie im Stich, um denen, die sich gegen sie stellten, Gerechtigkeit widerfahren zu lassen.;;;;;;;;;;;x
frost_wyrm_skull_shield;Frost Wyrm Skull Shield;Bouclier en crâne de wyrm de givre;Frostwyrm-Schädelschild;;;;;;;;;;;x
frost_wyrm_skull_shield_desc;This unique shield was carved from the flattened crown of a white dragon's skull. The bone has been hardened and enhanced with an intricate steel framework interlaced with unidentifiable runes from an unknown maker. Handles were added, turning the skull into a powerful shield.;Ce bouclier unique a été sculpté dans la couronne aplatie du crâne d'un dragon blanc. L'os a été durci et amélioré grâce à une structure en acier complexe entrelacée de runes non identifiables d'un fabricant inconnu. Des poignées ont été ajoutées, transformant le crâne en un puissant bouclier.;Dieser einzigartige Schild wurde aus dem Schädel eines weißen Drachens geschnitzt. Der Knochen wurde gehärtet und mit einem komplizierten Stahlgerüst veredelt, das mit unidentifizierbaren Runen verwoben ist.;;;;;;;;;;;x
hammer_of_the_lightbringer;Hammer of the Lightbringer;Marteau du Porteur de Lumière;Hammer des Lichtbringers;;;;;;;;;;;x
hammer_of_the_lightbringer_desc;This two-handed hammer has been wielded by the Lightbringer since he was named one of the first paladins. The diamond hammer with mahogany handle is decorated with a gold emblem of the silver hand.;Ce marteau à deux mains est manié par le Porteur de Lumière depuis qu'il a été nommé parmi les premiers paladins. Le marteau en diamant avec un manche en acajou est décoré d'un emblème doré de la Main d'argent.;Diesen zweihändigen Hammer schwingt der Lichtbringer, seit er zu einem der ersten Paladine ernannt wurde. Den diamantenen Hammer mit Mahagonigriff ziert ein in Gold eingelassenes Emblem der Silberhand.;;;;;;;;;;;x
ironfoe;Ironfoe;Hostefer;Ironfoe;;;;;;;;;;;x
ironfoe_desc;The legendary orc-slaying hammer, crafted out of a massive block of dark iron, with dwarven runes of power carved into its surface.;Le légendaire marteau pourfendeur d'Orcs, fabriqué à partir d'un bloc massif de sombrefer, avec des runes de puissance naines gravées à sa surface.;Der legendäre Orks schlachtende Hammer, gefertigt aus einem massiven Block dunklen Eisens, mit zwergischen Runen der Macht, die in seine Oberfläche eingelassen wurden.;;;;;;;;;;;x
pipe_of_insight;Pipe of Insight;Pipe de perspicacité;Pfeife der Einsicht;;;;;;;;;;;x
pipe_of_insight_desc;These pipes, made according to a design by Khadgar, have a handle of gnarled wood and a deep bowl of yellowed bone.;Ces pipes, fabriquées d'après un dessin de Khadgar, ont un manche en bois noueux et un profond bol en os jauni.;Diese Pfeifen, gefertigt nach einem Entwurf von Khadgar, weisen einen Stiel aus knorrigem Holz und eine tiefe Schale aus vergilbtem Knochen auf.;;;;;;;;;;;x
orb_of_corruption;Orb of Corruption;Orbe de corruption;Verderbniskugel;;;;;;;;;;;x
orb_of_corruption_desc;An unholy orb imbued with the magic of the scourge, crafted to bring the mortal knights to their knees.;Un orbe impie imprégné de la magie du Fléau, conçu pour mettre à genoux les chevaliers mortels.;Eine unheilige Kugel, die von der Magie der Geißel durchdrungen ist und welche die sterblichen Ritter in die Knie zwingt.;;;;;;;;;;;x
queldelar;Quel'Delar;Quel'Delar;Quel'Delar;;;;;;;;;;;x
