#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITLE_WCCLS_1;Education Initiated;Apprentissage débuté;Ausbildung begonnen;;;;;;;;;;;x
EVTDESC_WCCLS_500;[Root.GetEluneTheLightCap] speaks to you very clearly now. [Root.GetHerItsCap] powers of healing and preservation are a second language to you. You have left marks on those you have helped and protected with your divine words. The forces of darkness shy away from that which is a shining beacon of [Root.GetEluneTheLight]: you. The pains and nightmares caused by evil find themselves utterly purged by your touch. May Azeroth see you develop into the greatest priest ever known.;À présent, vous comprenez clairement la Lumière. Ses pouvoirs salvateurs n'ont plus aucun secret pour vous. Vos paroles divines ont marqué tous ceux que vous avez aidés et protégés tandis que les forces des Ténèbres craignent le phare étincelant que vous êtes devenu. Les maux causés par les forces du Mal disparaissent totalement à votre contact. Puisse Azeroth vous voir devenir le plus grand prêtre de tous les temps.;Ihr habt Eure Ausbildung zum Priester abgeschlossen und habt die Schulen der Heilung und der Dunkelheit studiert. Es liegt an Euch, das Geschenk des heiligen Lichts richtig anzuwenden. Seit dem Aufkommen des Lichts haben Priester ihr Volk unterstützt um selbst in den dunkelsten Zeiten einen Funken Hoffnung zu verbreiten. Viel Glück, Priester[From.GetinFemale]! Verzerrt das heilige Licht nicht umsonst - es kann ihren Träger in einen Abgrund aus Dunkelheit und Verzweiflung stürzen lassen.;;;;;;;;;;;x
EVTDESC_WCCLS_501;The rogue's path is the way of deception and deceit. Professional killers and mercenaries do not obey any rules or moral codes, only what is described on the contract of their employer. Learning this craft, you can walk anywhere unseen, and carry out your deeds without fear of being discovered.;La voie du voleur est celle de l'illusion et de la tromperie. Les tueurs professionnels et les mercenaires n'obéissent à aucune règle ou code moral, seulement à ce qui est décrit sur le contrat de leur employeur. En apprenant ce métier, vous pouvez vous promener partout sans être vu et accomplir vos actes sans craindre d'être découvert.;Der Weg des Schurken ist ein Weg der Täuschung und des Verrats. Professionelle Attentäter und Söldner befolgen keine Regeln oder Moralkodices, für sie zählt nur, was im Vertrag ihres Arbeitgebers geschrieben steht. Wenn Ihr dieses Handwerk lernt, könnt Ihr überall ungesehen eindringen und Eure Schandtaten begehen, ohne Angst zu haben, entdeckt zu werden.;;;;;;;;;;;x
EVTDESC_WCCLS_600;You have completed your training as a rogue, and now the shadows themselves are your allies. With many tricks up your sleeve, you can battle anyone by attacking stealthily and disappearing the moment the enemy is ready to strike back. Good luck, rogue! A world in which honour and dignity means nothing belongs to us!;Vous avez terminé votre formation de voleur, et maintenant les ombres elles-mêmes sont vos alliées. Grâce à de nombreuses techniques, vous pouvez combattre n'importe qui en attaquant furtivement et en disparaissant au moment où l'ennemi est prêt à riposter. Bonne chance, fripouille ! Un monde dans lequel l'honneur et la dignité ne signifient rien ne nous appartient pas !;Ihr habt Eure Ausbildung als Schurke abgeschlossen und nun sind die Schatten selbst Eure Verbündeten. Mit vielen Tricks im Ärmel könnt Ihr gegen jeden kämpfen, indem Ihr heimlich angreift und in just dem Moment verschwindet, in dem der Gegner bereit ist, zurückzuschlagen. Viel Glück, Schurk[From.GetinFemale][From.GeteFemaleOpp]! Eine Welt, in der Ehre und Würde nichts bedeutet, gehört uns!;;;;;;;;;;;x
EVTDESC_WCCLS_601;The warlock's path is the way of dark magic, brought by invaders from another world. In our world, too, many were deceived and influenced to turn to this foul magic. You accept the dark arts, sewing chaos, confusion, and disruption in the ranks of the enemy. With a strong will, you are able to call on the services of various bloodthirsty demons and keep them in servitude. Continuing with your studies and making use of demon blood, you will learn even more destructive spells and the ability to summon more powerful demons.;Le chemin du démoniste est la voie de la magie noire, apportée par des envahisseurs d'un autre monde. Dans notre monde aussi, beaucoup ont été trompés et influencés pour se tourner vers cette magie obscure. Vous acceptez les arts sombres, de semer le chaos, la confusion et la perturbation dans les rangs de l'ennemi. Avec une forte volonté, vous êtes capable de faire appel aux services de divers démons sanguinaires et de les maintenir en servitude. En poursuivant vos études et en utilisant le sang des démons, vous apprendrez des sorts encore plus destructeurs et la capacité d'invoquer des démons plus puissants.;Der Weg des Hexenmeisters ist der Weg der dunklen Magie, die von Eindringlingen aus einer anderen Welt mitgebracht wurde. Auch in unserer Welt wurden viele betrogen und beeinflusst, sich dieser verkommenen Form der Magie zuzuwenden. Ihr akzeptiert die dunklen Künste, sät Chaos, Verwirrung und Zerstörung in den Reihen des Feindes. Mit einem starken Willen könnt Ihr die Dienste verschiedener blutrünstiger Dämonen in Anspruch nehmen und sie in Knechtschaft halten. Führt Eure Studien fort und durch die Verwendung von Dämonenblut lernt Ihr noch viel zerstörerischere Zaubersprüche und könnt die Fähigkeit erlangen, mächtigere Dämonen zu beschwören.;;;;;;;;;;;x
EVTDESC_WCCLS_700;You have completed your training as a warlock. Demons obey your command and recognize you as their master. Many in this world are afraid of dark magic and for good reason. Warlocks are able to destroy the soul of their foes, using it for their own advantage. Good luck, warlock! Bring fear and terror to this world and use it as you see fit!;Vous avez terminé votre formation de démoniste. Les démons obéissent à votre commandement et vous reconnaissent comme leur maître. Beaucoup dans ce monde ont peur de la magie noire et pour de bonnes raisons. Les démonistes sont capables de détruire l'âme de leurs ennemis, en l'utilisant à leur propre avantage. Bonne chance, démoniste ! Apportez la peur et la terreur dans ce monde et utilisez-la comme bon vous semble !;Ihr habt Eure Ausbildung zum Hexenmeister abgeschlossen. Dämonen gehorchen Eurem Befehl und erkennen Euch als ihren Meister an. Viele auf dieser Welt haben Angst vor dunkler Magie und das aus gutem Grund. Hexenmeister können die Seele ihrer Feinde zerstören und zu ihrem Vorteil nutzen. Viel Glück, Hexenmeister[From.GetinFemale]! Bringt dieser Welt Angst und Schrecken und nutzt sie, wie Ihr es für richtig haltet!;;;;;;;;;;;x
EVTDESC_WCCLS_701;The shaman's path is the way of the spiritual leader, one whose power is taken from the natural elements. Unlike other\nspellcasters, you ask for the elements to aid you, and more often than not, they respond to your call. Shamans try to balance the elements of water, air, earth, and fire in their mediation, reassuring some and dominating others. If you continue to study shamanism, you will learn how to negotiate with the elements, so that they may be filled with a relentless desire to help and strengthen you.;La voie du chaman est celle du chef spirituel, celui dont le pouvoir est tiré des éléments de la nature. Contrairement aux autres lanceurs de sorts, vous demandez aux éléments de vous aider, et le plus souvent, ils répondent à votre appel. Les chamans essaient d'équilibrer les éléments de l'eau, de l'air, de la terre et du feu dans leur médiation, rassurant les uns et dominant les autres. Si vous continuez à étudier le chamanisme, vous apprendrez à négocier avec les éléments, afin qu'ils soient remplis d'un désir implacable de vous aider et de vous renforcer.;Der Weg des Schamanen ist der Weg des geistigen Führers, dessen Macht von den natürlichen Elementen stammt. Im Gegensatz zu anderen Zauberkundigen bitten die Schamanen die Elemente, Ihnen zu helfen, und meistens antworten diese auf ihr Gebet. Schamanen versuchen, die Elemente Wasser, Luft, Erde und Feuer auszugleichen, sie zu besänftigen und zu beherrschen. Wenn Ihr euch dem Schamanismus widmet, werdet Ihr lernen, mit den Elementen zu verhandeln, so dass sie mit einem unerbittlichen Verlangen erfüllt werden können, Euch zu helfen und zu stärken.;;;;;;;;;;;x
EVTDESC_WCCLS_800;You have completed your training as a shaman, and your eyes see that the spirits of the elements are everywhere. Now you can ask\nthem for help at any time - to enhance your own weapons, grant magical powers to your totem, or weaken the enemy. Of course, the elements must deem it a fair request. Good luck, shaman! If at any point the elements do not answer, you can always stick a totem in the enemy's head.;Vous avez terminé votre formation de chaman, et vos yeux voient que les esprits des éléments sont partout. Maintenant, vous pouvez leur demander de l'aide à tout moment : pour améliorer vos propres armes, accorder des pouvoirs magiques à votre totem, ou affaiblir l'ennemi. Bien sûr, les éléments doivent considérer cette demande comme juste. Bonne chance, chaman ! Si, à un moment donné, les éléments ne répondent pas, vous pouvez toujours coller un totem dans la tête de l'ennemi.;Ihr habt das Training zum Schamanen abgeschlossen und habt mit eigenen Augen gesehen, dass die Geister der Elemente überall sind. Und jetzt könnt Ihr sie jederzeit um Hilfe bitten - um Eure eigenen Waffen zu verstärken, Euren Totems magische Kräfte zu verleihen oder Eure Feinde zu schwächen, aber nur, wenn die Elemente Euer Ersuchen für gerechtfertigt halten. Viel Glück, Schaman[From.GetinFemale][From.GeteFemaleOpp]! Und wenn die Elemente irgendwann einmal nicht antworten sollten, könnt Ihr mit dem Totem immer noch den Kopf Eures Feindes einschlagen. Wie das bekannte schamanische Sprichwort sagt - hofft auf die Elemente, aber macht Euch keine Sorgen.;;;;;;;;;;;x
EVTDESC_WCCLS_801;The druid's path is the way of natural magic and the defense of the world. For centuries, the druids kept a balance between animals, plants, and the environment. However, all creatures may bear different intentions, so the druids can be aggressive in their efforts to maintain the balance. You already know that you can maintain the delicate balance of nature not only by healing, but also by violence. Continuing your study of druidism, you will soon understand that the nature magic isn't used only for healing.;Le chemin du druide est la voie de la magie naturelle et de la défense du monde. Pendant des siècles, les druides ont maintenu un équilibre entre les animaux, les plantes et l'environnement. Cependant, toutes les créatures peuvent avoir des intentions différentes, de sorte que les druides peuvent être agressifs dans leurs efforts pour maintenir l'équilibre. Vous savez déjà que vous pouvez maintenir le délicat équilibre de la nature non seulement par la guérison, mais aussi par la violence. En poursuivant votre étude du druidisme, vous comprendrez bientôt que la magie de la nature n'est pas utilisée uniquement pour guérir.;Der Weg des Druiden ist der Weg der natürlichen Magie und des Beschützens eben jener. Seit Jahrhunderten haben die Druiden ein Gleichgewicht zwischen Tieren, Pflanzen und Umwelt bewahrt. Aber alle Seelen sind verschieden, deshalb können auch die Druiden, in ihrem Bestreben das Gleichgewicht zu beschützen, aggressiv sein. Ihr wisst bereits, dass ein fragiles Gleichgewicht nicht nur durch Heilung, sondern auch durch Gewalt unterstützt werden kann. Wenn Ihr Euch weiterhin dem Druidentum widmet, werdet Ihr bald erfahren, dass die Magie der Natur vielleicht nicht ganz so harmlos ist.;;;;;;;;;;;x
EVTDESC_WCCLS_900;You have completed your training as a druid and learned how to heal others with nature magic - and how to make enemies suffer as well. Your enemies will soon learn of the boundless power of nature, while healing spells will heal the wounds of the world. Good luck, druid! Maintain and protect the wild in the name of Cenarius!;Vous avez terminé votre formation de druide et appris à soigner les autres avec la magie de la nature - et à faire souffrir les ennemis, aussi. Vos ennemis apprendront bientôt le pouvoir illimité de la nature, tandis que les sorts de guérison soigneront les blessures du monde. Bonne chance, druide ! Entretenez et protégez la nature au nom de Cénarius !;Ihr habt das Training zum Druiden abgeschlossen und gelernt, wie Magie zur Heilung oder Zerstörung verwendet wird. Eure Feinde werden schon bald die grenzenlose Macht der Natur kennen lernen, während Eure Heilzauber die Wunden dieser Welt heilen werden. Viel Glück, Druid[From.GetinFemale][From.GeteFemaleOpp]! Beschützt und unterstützt die Natur im Namen von Cenarius!;;;;;;;;;;;x
EVTDESC_WCCLS_901;The Loa priest's path is the way of voodoo magic, the religion practiced by trolls and some other tribal races. Voodoo, to outsiders, seems to be a grim combination of shamanism, dark magic and alchemy. Nevertheless, it is very effective. As a Loa priest, you are spiritually and magically communicating with a member of the pantheon of voodoo spirits known as Loa, which gives you tremendous power in exchange for reverence and sacrifice. And the more power you want to have, the more sacrifices in the name of Loa you will need to give.;Le chemin du prêtre Loa est la voie de la magie vaudou, la religion pratiquée par les Trolls et certaines autres races tribales. Pour les étrangers, le vaudou semble être une sinistre combinaison de chamanisme, de magie noire et d'alchimie. Néanmoins, il est très efficace. En tant que prêtre Loa, vous communiquez spirituellement et magiquement avec un membre du panthéon des esprits vaudous connu sous le nom de Loa, ce qui vous donne un pouvoir énorme en échange de révérences et de sacrifices. Et plus vous voulez avoir de pouvoir, plus vous devrez faire de sacrifices au nom de Loa.;Der Weg des Loa-Priesters ist der Weg eines Anhängers der magischen Voodoo-Religion, die von Trollen und einigen anderen Stammesvölkern praktiziert wird. Voodoo scheint für Außenstehende nur eine düstere Kombination aus Schamanismus, dunkler Magie und Alchemie zu sein, aber dennoch ist es sehr effektiv. Als Loa-Priester verbindet Ihr Euch spirituell und magisch mit einem der Geister des Voodoo-Pantheons, bekannt als Loa, der Euch unermessliche Kraft im Austausch für Verehrung und Opferungen verleiht. Und je mehr Macht Ihr besitzen wollt, desto mehr Opfer müsst Ihr im Namen der Loa darbringen.;;;;;;;;;;;x
EVTDESC_WCCLS_1000;You have completed your training on the Loa priest's path and are able to show the world the strength and power of your Loa patron. As a spirit of nature, Loa are able to come to you at any time, called in the form of magical power or in the form of a mighty beast. Of course, this assumes you brought them enough sacrifices. Good luck, Loa priest! It's time to show Azeroth that voodoo should be respected.;Vous avez terminé votre formation de prêtre Loa et êtes capable de montrer au monde la force et la puissance de votre mécène Loa. En tant qu'esprit de la nature, les Loa sont capables de venir à vous à tout moment, appelés sous la forme d'un pouvoir magique ou sous la forme d'une bête puissante. Bien entendu, cela suppose que vous leur ayez apporté suffisamment de sacrifices. Bonne chance, prêtre Loa ! Il est temps de montrer à Azeroth que le vaudou doit être respecté.;Ihr habt die Ausbildung zum Loa-Priester abgeschlossen und seid in der Lage, der Welt die volle Macht Eures Loa-Patrons zu zeigen. Als Naturgeist kann der Loa jederzeit Eurem Ruf folgen und in Form von magischer Kraft oder in Gestalt eines mächtigen Tieres zu Euch kommen. Immer vorausgesetzt, Ihr habt ihm genügend Opfer gebracht. Viel Glück, Loa-Priester[From.GetinFemale]! Es ist an der Zeit zu zeigen, dass ganz Azeroth die Macht des Voodoo respektieren sollte.;;;;;;;;;;;x
EVTDESC_WCCLS_1101;The necromancer's path is the way of dark magic, able to revive the dead bodies of animals and intelligent beings. No raised creature will resist the will of the caster. Studying this magic, and more, you will in time be able to raise vast numbers of creatures, surrounding yourself with an army that will become your perfect shield and sword against any opponent.;Le chemin du nécromancien est la voie de la magie noire, capable de faire revivre les cadavres d'animaux et d'êtres intelligents. Aucune créature élevée ne résistera à la volonté du lanceur. En étudiant cette magie, et bien d'autres, vous pourrez à terme ranimer un grand nombre de créatures, en vous entourant d'une armée qui deviendra votre bouclier et votre épée parfaits contre tout adversaire.;Der Weg des Totenbeschwörers ist der Weg der dunklen Magie, die in der Lage ist, die Leichen von Tieren und auch intelligenten Lebewesen wiederzubeleben. Keine erweckte Kreatur besitzt mehr einen eigenen Willen, sondern gehorcht voll und ganz ihrem Meister, der sie zurückgeholt hat. Wenn Ihr diese Magie weiter studiert, werdet Ihr mit der Zeit immer mehr und stärkere Kreaturen erwecken können und Euch mit einer Armee umgeben, die Euer perfektes Schwert gegen jeden Gegner werden wird.;;;;;;;;;;;x
EVTDESC_WCCLS_1200;You have completed the training on the necromancer's path, and have become a devastating force. You're able to raise your enemies as undead servants to do your bidding. No one will want to be your enemy, fearing such a fate will befall upon them. Good luck, necromancer! The more opponents you claim, the more powerful you will become.;Vous avez terminé l'entraînement du nécromancien, et êtes devenu une force dévastatrice. Vous êtes capable de ranimer vos ennemis en tant que serviteurs morts-vivants pour suivre vos ordres. Personne ne voudra être votre ennemi, de peur qu'un tel sort ne s'abatte sur lui. Bonne chance, nécromancien ! Plus vous revendiquez de cadavres ennemis, plus vous deviendrez puissant.;Ihr habt das Training zum Totenbeschwörer abgeschlossen und seid in der Lage, Euren Feinden Eure Macht zu zeigen. Ihr seid in der Lage, Eure Feinde als untote Diener und Soldaten für Euren Hof oder Eure Armee wiederzuerwecken. Darum wird auch niemand Euer Feind sein wollen, um einem solchen Schicksal zu entgehen. Viel Glück, Nekromant[From.GetinFemale]! Je mehr Gegner Ihr unterwerft, desto stärker werdet Ihr werden.;;;;;;;;;;;x
EVTDESC_WCFTW_1;The Horde has already gone through the portal. You made a deal that you need to fulfil. The kingdom of Stormwind must fall!;La Horde a déjà franchi le portail. Vous avez conclu un accord que vous devez respecter. Le royaume de Hurlevent doit tomber !;Die Horde hat das Portal bereits durchschritten. Ihr habt eine Abmachung getroffen und müsst Euren Teil erfüllen. Das Königreich Sturmwind muss fallen.;;;;;;;;;;;x
EVTOPTA_WCFTW_1;We will conquer!;Nous serons des conquérants !;Wir werden sie unterwerfen!;;;;;;;;;;;x
EVTOPTB_WCFTW_1;We will attack someone else.;Nous allons attaquer quelqu'un d'autre.;Wir werden jemand anders angreifen.;;;;;;;;;;;x
EVTTITLE_WCFTW_100;The Invasion from Draenor;L'invasion de Draenor;Die Invasion von Draenor;;;;;;;;;;;x
