# CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
wc_ziggurat1_desc;Significant portions of land have been affected by the undead plague, corrupting the flora and fauna, as well as raising the dead.;La peste a ravagé d’importantes parties de ce territoire, corrompant la faune, transformant flore et ressuscitant même les morts.;Bedeutende Teile des Landes sind von der Seuche des Untods betroffen, die die Flora und Fauna verderben und die Toten auferstehen lässt.;;;;;;;;;;;x
wc_ziggurat2_desc;Disciples of the Cult of the Damned have erected a Ziggurat to better refine the plague and blight that corrupt this land.;;Schüler des Kultes der Verdammten haben eine Ziggurat errichtet, um die Seuche und die Verderbnis, die dieses Land heimsuchen, zu verbreiten.;;;;;;;;;;;x
wc_ziggurat3_desc;The essences of the restless spirits who cannot fight or work were bound to the unholy Ziggurat to strengthen the local cultists.;;Die Essenzen der rastlosen Geister, die nicht kämpfen oder arbeiten können, wurden an die unheilige Ziggurat gebunden, um die lokalen Kultisten zu stärken.;;;;;;;;;;;x
wc_ziggurat4_desc;Much like the flying Nerubian ziggurat Naxxramas, this ziggurat has taken to the skies. Though much smaller, the powers of the cult in the area are truly on display with this floating ziggurat.;;Ähnlich wie die fliegende nerubische Ziggurat Naxxramas hat diese Ziggurat den Weg in die Luft gefunden. Obwohl viel kleiner, ist die Kraft des Kultes in der Nähe dieser schwebenden Ziggurat deutlich zu erkennen.;;;;;;;;;;;x
wc_damntemple1;Necromantic Shrine;Mausolée;Nekromantischer Schrein;;;;;;;;;;;x
wc_damntemple2;Temple of the Damned;Temple des Damnés;Tempel der Verdammten;;;;;;;;;;;x
wc_damntemple3;Unholy Chapel;Chapelle impie;Unheilige Kapelle;;;;;;;;;;;x
wc_damntemple4;Cathedral of the Damned;Cathédrale des Damnés;Kathedrale der Verdammten;;;;;;;;;;;x
wc_damntemple1_desc;A small cult of necromancers have found their way to this area and have set up a shrine to their new dark god, the Lich King.;;Ein kleiner Kult von Nekromanten hat den Weg in diese Gegend gefunden und einen Schrein für ihren neuen dunklen Gott, den Lichkönig, errichtet.;;;;;;;;;;;x
wc_damntemple2_desc;Walls have been built around the necromantic shrine giving way to a dark temple dedicated to the undead.;;Um den nekromantischen Schrein herum wurden Mauern errichtet, um einen dunklen Tempel für die Untoten zu schaffen.;;;;;;;;;;;x
wc_damntemple3_desc;Necromancers from abroad gather at this unholy chapel to better their dark skills and raise more undead in service of the Lich King.;;Nekromanten von nah und fern versammeln sich in dieser unheiligen Kapelle, um ihre dunklen Fähigkeiten zu verbessern und mehr Untote im Dienste des Lichkönigs zu erwecken.;;;;;;;;;;;x
wc_damntemple4_desc;A gigantic unholy cathedral on par with the most grandoise Scarlet citadels of faith dominates the surrounding landscape complete with dying fauna and undead garrisons.;;Eine gigantische, unheilige Kathedrale, die den gewaltigsten scharlachroten Zitadellen des Lichtglaubens gleichkommt, dominiert die umgebende Landschaft mit ihrer sterbenden Fauna und untoten Garnisonen.;;;;;;;;;;;x
wc_slaughterhouse1;Meat Grinder;Moulin à viande;Fleischwolf;;;;;;;;;;;x
wc_slaughterhouse2;Slaughterhouse;Abattoir;Schlachthaus;;;;;;;;;;;x
wc_slaughterhouse3;Fleshwerks;Charognerie;Fleischerei;;;;;;;;;;;x
wc_slaughterhouse4;Construct Laboratory;Pesterie;Monströsitätenlabor;;;;;;;;;;;x
wc_slaughterhouse1_desc;Some of the unusuable bodies ill-suited for fighting or laboring have been disected for parts and grinded together to form larger abominations.;;Hier werden einige der unbrauchbaren Körper, die für den Kampf oder die Arbeit ungeeignet sind, wurden zerstückelt und zu größeren Gräueltaten zusammengesetzt.;;;;;;;;;;;x
wc_slaughterhouse2_desc;Larger facilities have been built and dedicated to the processing of dead bodies and their recombination into greater machines of war.;;Es wurden größere Anlagen errichtet, die der Verarbeitung von Leichen zu größeren Fleischgolems gewidmet sind.;;;;;;;;;;;x
wc_slaughterhouse3_desc;Separate facilities have been built away from the grinders to better focus on refining the construction of flesh golems and abominations.;;Es wurden getrennte Einrichtungen außerhalb der Fleischwölfe errichtet, um sich besser auf die Verfeinerung des Baus von Fleischgolems und Abscheulichkeiten zu konzentrieren.;;;;;;;;;;;x
wc_slaughterhouse4_desc;Sick experiments occur down these haunted halls, giving birth to sick abominations able to create ungodly terror amongst living populations and armies.;;In diesen verfluchten Hallen finden kranke Experimente statt, die kranke Abscheulichkeiten in die Welt setzen, die in der Lage sind, gotteslästerlichen Schrecken unter lebenden Bevölkerungen und Armeen zu erzeugen.;;;;;;;;;;;x
wc_boneyard1;Dragon Graveyard;Cimetière de dragons;Drachengrab;;;;;;;;;;;x
wc_boneyard2;Boneyard;Ossuaire;Drachenfriedhof;;;;;;;;;;;x
wc_boneyard3;Draconic Boneyard;Ossuaire draconique;Knochenhof;;;;;;;;;;;x
wc_boneyard4;Draconic Crypts;Cryptes draconiques;Drachenkrypta;;;;;;;;;;;x
wc_boneyard1_desc;No matter how deep they may lie, we have succeeded in capturing the bones of a dragon that had long since died with its young.;;Egal wie tief sie auch liegen mögen ist es uns unter großen Anstrengungen doch gelungen, die Knochen eines Drachens, der mitsamt seiner Jungen längst gestorben war, zu erbeuten.;;;;;;;;;;;x
wc_boneyard2_desc;Another body has been found and unearthed in the name of the Scourge giving the local force an incredible air superiority upgrade.;;Ein weiterer Kadaver wurde im Namen der Geißel gefunden und ausgegraben, was den lokalen Kräften eine unglaubliche Verbesserung der Luftüberlegenheit verschafft.;;;;;;;;;;;x
wc_boneyard3_desc;Lands in the area have been dedicated to the unearthing of more draconic bones and their subsequent raising.;;Die Ländereien in diesem Gebiet wurden der Entdeckung von noch mehr Drachenknochen gewidmet.;;;;;;;;;;;x
wc_boneyard4_desc;It's impossible to believe there are any draconic remains left to unearth, but the mindless manage when they put their minds to it, adding even more draconic skeletal slaves to Scourge horde.;;Es ist unmöglich zu glauben, dass es noch irgendwelche Drachenüberreste zu entdecken gibt, aber die Untoten schaffen es, noch mehr Skelettdrachen zur Macht der Geißel hinzuzufügen.;;;;;;;;;;;x
wc_sacrificialpit1;Necromantic Altar;Autel nécromantique;Nekromantischer Altar;;;;;;;;;;;x
wc_sacrificialpit2;Sacrificial Pit;Puits sacrificiel;Opfergrube;;;;;;;;;;;x
wc_sacrificialpit3;Sacrificial Abyss;Abysse sacrificielle;Opferschlund;;;;;;;;;;;x
wc_sacrificialpit4;Bone Chasm;Abîme osseuse;Knochenschlucht;;;;;;;;;;;x
wc_sacrificialpit1_desc;A separate altar away from the main necromancer cults has been erected and dedicated to the sacrifice of small animals and other fauna. Perhaps it is to boost these cultists' power of death?;;Ein separater Altar abseits der wichtigsten Totenbeschwörerkulte wurde errichtet und dem Opfern von Kleintieren und anderer Fauna gewidmet. Vielleicht geht es darum, die Macht dieser Kultisten über den Tod zu stärken?;;;;;;;;;;;x
wc_sacrificialpit2_desc;Sacrificed bodies of the now deceased begin to include humanoids and the victims are thrown into a mass grave to later be raised, serving a dual purpose.;;Zu den geopferten Leichen der jetzt Verstorbenen gehören auch Humanoide, die Opfer werden in ein Massengrab geworfen, um zu gegebener Zeit wieder auferweckt zu werden, was einem doppelten Zweck dient.;;;;;;;;;;;x
wc_sacrificialpit3_desc;The gap in the earth has widened to better sustain the destruction of the living. Many unfortunate victims find their end before the abyss.;;Die Grube in der Erde hat sich vergrößert, um die Opferung der Lebenden besser zu unterstützen. Viele unglückliche Opfer finden ihr Ende vor dem Schlund.;;;;;;;;;;;x
wc_sacrificialpit4_desc;Gaping pits of bodies have coalesced together to form one chasm in the earth used for the sole purpose of body collection.;;Klaffende Löcher voller Leichen sind zu einem einzigen Abgrund in der Erde vereinigt worden, der ausschließlich für die Sammlung von Leichen verwendet wird.;;;;;;;;;;;x
wc_tombofrelics1;Lost Tomb;Tombeau oublié;Verlorenes Grab;;;;;;;;;;;x
wc_tombofrelics2;Tomb of Relics;Tombeau des Reliques;Grabmal der Relikte;;;;;;;;;;;x
wc_tombofrelics3;Tomb of Magic;Tombeau magique;Magisches Grab;;;;;;;;;;;x
wc_tombofrelics4;Reliquary of Souls;Reliquaire des Âmes;Reliquiar der Seelen;;;;;;;;;;;x
wc_tombofrelics1_desc;Lost to time, this old tomb has been rediscovered, and whatever lies within has had an empowering effect on our death knights.;;Verloren in der Zeit wurde dieses alte Grab wiederentdeckt und was auch immer darin liegt, hat eine stärkende Wirkung auf unsere Todesritter.;;;;;;;;;;;x
wc_tombofrelics2_desc;The tomb here has been excavated to further reveal hidden artifacts and weapons of divine and arcane power alike.;;Dieses Grab wurde ausgehoben, um weitere verborgene Artefakte und Waffen von göttlicher und arkaner Macht zu entdecken.;;;;;;;;;;;x
wc_tombofrelics3_desc;Deeper halls within the tomb have released unknown energies that work to further empower the Scourge's elite.;;Tiefere Hallen innerhalb des Grabes haben unbekannte Energien freigesetzt, die dazu beitragen, die Elite der Plage noch weiter zu stärken.;;;;;;;;;;;x
wc_tombofrelics4_desc;A soul reliquary found in the deepest part of this tomb has been unleashed allowing our death knights to feast upon their energies and grow ever stronger.;;Ein Seelenreliquiar, das sich im tiefsten Teil dieses Grabes befindet, wurde freigelegt, damit unsere Todesritter ihre Energien schöpfen und immer stärker werden können.;;;;;;;;;;;x
wc_altarofdarkness1;Altar of Shadow;Autel des Ombres;Schattenaltar;;;;;;;;;;;x
wc_altarofdarkness2;Altar of Darkness;Autel des Ténèbres;Altar der Dunkelheit;;;;;;;;;;;x
wc_altarofdarkness3;Altar of Necromancy;Autel de la Nécromancie;Altar der Nekromantie;;;;;;;;;;;x
wc_altarofdarkness4;Altar of Death;Autel de la Mort;Altar des Todes;;;;;;;;;;;x
wc_altarofdarkness1_desc;Enveloped in shadow, a small necromantic altar built here allows for the empowerment of some of our more intelligent and impressive golems.;;Umgeben von Schatten, ermöglicht ein kleiner hier errichteter nekromantischer Altar die Stärkung einiger unserer intelligenteren und beeindruckenderen Golems.;;;;;;;;;;;x
wc_altarofdarkness2_desc;This altar has been enchanted further and has grown in size to further accommodate the transformation of more grotesque golems.;;Der Altar wurde weiter verzaubert und vergrößert, um die Verwandlung von mehr grotesken Golems zu ermöglichen.;;;;;;;;;;;x
wc_altarofdarkness3_desc;Necromantic powers are infused into this altar like never before increasing the power of our abominations even further.;;Nekromantische Kräfte sind in diesen Altar eingeflossen wie nie zuvor, um die Macht unserer Abscheulichkeiten noch weiter zu erhöhen.;;;;;;;;;;;x
wc_altarofdarkness4_desc;This altar has become a true fount of the Lich King's power, those who are tapped into its power become killing machines worthy of the Scourge's most powerful abominations.;;Dieser Altar ist zu einer wahren Quelle der Macht des Lichkönigs geworden. Diejenigen, die zu seiner Macht hingezogen werden, werden zu Tötungsmaschinen, die die mächtigsten Monstösitäten der Geißel darstellen.;;;;;;;;;;;x
wc_scourgehordeshipyard1;Skeletal Crews;Équipages-squelettes;Skelettmannschaften;;;;;;;;;;;x
wc_scourgehordeshipyard2;Bone Shipyard;Chantier naval osseux;Knochenwerft;;;;;;;;;;;x
wc_scourgehordeshipyard3;Undead Shipyard;Chantier naval mort-vivant;Werft der Untoten;;;;;;;;;;;x
wc_scourgehordeshipyard4;Large Undead Shipyard;Grand chantier naval mort-vivant;Große Werft der Untoten;;;;;;;;;;;x
wc_scourgehordeshipyard1_desc;Undead sailors roam the coast pulling sunken ships from the depths and refitting them so that they may sail once again.;;Untote Seeleute durchstreifen die Küste, ziehen versunkene Schiffe aus den Tiefen und rüsten sie so um, dass sie wieder segeln können.;;;;;;;;;;;x
wc_scourgehordeshipyard2_desc;Dedicated docks have been constructed to work on the construction of new Scourge vessels and the refitting of older lost ships.;;Für den Bau neuer Schiffe der Geißel und die Umrüstung älterer verlorener Schiffe wurden spezielle Docks gebaut.;;;;;;;;;;;x
wc_scourgehordeshipyard3_desc;These dockyard have expanded allowing for an even larger fleet to dock for repair or to refill their lost undead crews.;;Diese Werft wurde erweitert, so dass eine noch größere Flotte zur Reparatur oder zum Nachfüllen ihrer verlorenen untoten Besatzungen anlegen kann.;;;;;;;;;;;x
wc_scourgehordeshipyard4_desc;An undead fleet worthy of the Lich King himself finds its home in this region's docks. It stands that only a Kul Tiran fleet could go head to head with this flotilla and its crew.;;Eine untote Flotte, die des Lichkönigs selbst würdig ist, findet ihren Platz in den Docks dieser Region. Es steht fest, dass nur eine Flotte aus Kul Tiras dieser Flottille und ihrer Besatzung die Stirn bieten kann.;;;;;;;;;;;x
wc_cityruins1;Ruined Town;Ville en ruine;Verfallenes Dorf;;;;;;;;;;;x
wc_cityruins2;Ruined City;Cité en ruine;Verfallene Stadt;;;;;;;;;;;x
wc_cityruins3;Ruined Metropolis;Métropole en ruine;Verfallene Metropole;;;;;;;;;;;x
wc_cityruins4;Undead Metropolis;Métropole morte-vivante;Untote Metropole;;;;;;;;;;;x
wc_cityruins1_desc;Ruined Town;;Ein verfallenes Dorf.;;;;;;;;;;;x
wc_cityruins2_desc;Ruined City;;Eine verfallene Stadt.;;;;;;;;;;;x
wc_cityruins3_desc;Ruined Metropolis;;Eine verfallene Metropole.;;;;;;;;;;;x
wc_cityruins4_desc;Undead Metropolis;;Eine Metropole der Untoten.;;;;;;;;;;;x
wc_industryruins1;Scourge Hoard;;Geißelhort;;;;;;;;;;;x
wc_industryruins2;Undead Workforce;;Untote Belegschaft;;;;;;;;;;;x
wc_industryruins3;Undead Slave Quarry;;Untoter Sklavensteinbruch;;;;;;;;;;;x
wc_industryruins4;Saronite Vault;Caveau de saronite;Saronitgewölbe;;;;;;;;;;;x
wc_industryruins1_desc;Scourge Hoard.;;Geißelhort;;;;;;;;;;;x
wc_industryruins2_desc;Undead Workforce.;;Untote Belegschaft;;;;;;;;;;;x
wc_industryruins3_desc ;Undead Slave Quarry.;;Untoter Sklavensteinbruch;;;;;;;;;;;x
wc_industryruins4_desc;Saronite Vault.;;Saronitgewölbe;;;;;;;;;;;x
wc_ruinedschool1;Altars;Autels;Altäre;;;;;;;;;;;x
wc_ruinedschool2;Necromancer Alcoves;Alcôves;Nekromantenalkoven;;;;;;;;;;;x
wc_ruinedschool3;Necromantic Alcoves;Alcôves funèbres;Nekromantische Alkoven;;;;;;;;;;;x
wc_ruinedschool4;Undead Foci;Foyer mort-vivant;Untotes Zentrum;;;;;;;;;;;x
wc_ruinedschool1_desc;Altars;;Altäre;;;;;;;;;;;x
wc_ruinedschool2_desc;Necromancer Alcoves;;Nekromantenalkoven;;;;;;;;;;;x
wc_ruinedschool3_desc;Necromantic Alcoves;;Nekromantische Alkoven;;;;;;;;;;;x
wc_ruinedschool4_desc;Undead Foci;;Untotes Zentrum;;;;;;;;;;;x
wc_plaguecauldron1;Dark Cauldron;Chaudron funèbre;Dunkler Kessel;;;;;;;;;;;x
wc_plaguecauldron2;Plague Cauldron;Chaudron de peste;Seuchenkessel;;;;;;;;;;;x
wc_plaguecauldron3;Defiling Cauldron;Chaudron profané;Verderbender Kessel;;;;;;;;;;;x
wc_plaguecauldron4;Blight Cauldron;Chaudron corrompu;Pestkessel;;;;;;;;;;;x
wc_plaguecauldron1_desc;Dark Cauldron.;;Dunkler Kessel;;;;;;;;;;;x
wc_plaguecauldron2_desc;Plague Cauldron.;;Seuchenkessel;;;;;;;;;;;x
wc_plaguecauldron3_desc;Defiling Cauldron.;;Verderbender Kessel;;;;;;;;;;;x
wc_plaguecauldron4_desc;Blight Cauldron.;;Pestkessel;;;;;;;;;;;x
wc_scourgedwalls1;Ruined Walls;Murs en ruine;Verfallene Mauern;;;;;;;;;;;x
wc_scourgedwalls2;Scourged Walls;Murs souillés;Geißelmauern;;;;;;;;;;;x
wc_scourgedwalls3;Blighted Walls;Murs profanés;Verdorbene Mauern;;;;;;;;;;;x
wc_scourgedwalls4;Saronite Walls;Murs en saronite;Saronitmauern;;;;;;;;;;;x
wc_scourgedwalls1_desc;Ruined Walls;;Verfallene Mauern;;;;;;;;;;;x
wc_scourgedwalls2_desc;Scourged Walls;;Geißelmauern;;;;;;;;;;;x
wc_scourgedwalls3_desc;Blighted Walls;;Verdorbene Mauern;;;;;;;;;;;x
wc_scourgedwalls4_desc;Saronite Walls;;Saronitmauern;;;;;;;;;;;x
wc_massgrave1;Pile of Bodies;Tas de corps;Leichenhaufen;;;;;;;;;;;x
wc_massgrave2;Mass Graves;Fosse commune;Massengrab;;;;;;;;;;;x
wc_massgrave3;Piles of Corpses;Tas de cadavres;Leichenhügel;;;;;;;;;;;x
wc_massgrave4;Mountain of Bodies;Montagne de corps;Leichenberg;;;;;;;;;;;x
wc_massgrave1_desc;Pile of Bodies;;Leichenhaufen;;;;;;;;;;;x
wc_massgrave2_desc;Mass Graves;;Massengrab;;;;;;;;;;;x
wc_massgrave3_desc;Piles of Corpses;;Leichenhügel;;;;;;;;;;;x
wc_massgrave4_desc;Mountain of Bodies;;Leichenberg;;;;;;;;;;;x
wc_scourgedocks1;Small Undead Dockyard;;Kleine untote Werft;;;;;;;;;;;x
wc_scourgedocks2;Undead Dockyard;;Untote Werft;;;;;;;;;;;x
wc_scourgedocks3;Large Undead Dockyard;;Große untote Werft;;;;;;;;;;;x
wc_scourgedocks4;Massive Undead Dockyard;;Gewaltige untote Werft;;;;;;;;;;;x
wc_scourgedocks1_desc;Small Undead Dockyard;;Kleine untote Werft;;;;;;;;;;;x
wc_scourgedocks2_desc;Undead Dockyard;;Untote Werft;;;;;;;;;;;x
wc_scourgedocks3_desc;Large Undead Dockyard;;Große untote Werft;;;;;;;;;;;x
wc_scourgedocks4_desc;Massive Undead Dockyard;;Gewaltige untote Werft;;;;;;;;;;;x
wc_unholysanctuary1;Dark Sanctuary;Sanctuaire noir;Dunkles Heiligtum;;;;;;;;;;;x
wc_unholysanctuary2;Unholy Sanctuary;Sanctuaire impie;Unheiliges Heiligtum;;;;;;;;;;;x
wc_unholysanctuary3;Sanctuary of the Damned;Sanctuaire des Damnés;Sanktuarium der Verdammten;;;;;;;;;;;x
wc_unholysanctuary4;Citadel of the Damned;Citadelle des Damnés;Zitadelle der Verdammten;;;;;;;;;;;x
wc_unholysanctuary1_desc;Dark Sanctuary;;Dunkles Heiligtum;;;;;;;;;;;x
wc_unholysanctuary2_desc;Unholy Sanctuary;;Unheiliges Heiligtum;;;;;;;;;;;x
wc_unholysanctuary3_desc;Sanctuary of the Damned;;Sanktuarium der Verdammten;;;;;;;;;;;x
wc_unholysanctuary4_desc;Citadel of the Damned;;Zitadelle der Verdammten;;;;;;;;;;;x
wc_necroacademy1;School of the Damned;École des Damnés;Schule der Verdammten;;;;;;;;;;;x
wc_necroacademy2;Damned Academy;Académie des Damnés;Verdammte Akademie;;;;;;;;;;;x
wc_necroacademy3;Blighted University;Université des Damnés;Verdorbene Universität;;;;;;;;;;;x
wc_necroacademy4;College of Darkness;Haute-école des Ténèbres;Universität der Dunkelheit;;;;;;;;;;;x
wc_necroacademy1_desc;School of the Damned;;Schule der Verdammten;;;;;;;;;;;x
wc_necroacademy2_desc;Damned Academy;;Verdammte Akademie;;;;;;;;;;;x
wc_necroacademy3_desc;Blighted University;;Verdorbene Universität;;;;;;;;;;;x
wc_necroacademy4_desc;College of Darkness;;Universität der Dunkelheit;;;;;;;;;;;x
wc_defiledartifacts1;Defiled Books;Livres souillés;Befleckte Bücher;;;;;;;;;;;x
wc_defiledartifacts2;Blasphemous Relics;Reliques blasphématoires;Blasphemische Relikte;;;;;;;;;;;x
wc_defiledartifacts3;Cursed Idols;Idoles maudites;Verfluchte Götzen;;;;;;;;;;;x
wc_defiledartifacts4;Blighted Artifacts;Artefacts profanés;Verdorbene Artefakte;;;;;;;;;;;x
wc_defiledartifacts1_desc;Defiled Books;;Befleckte Bücher;;;;;;;;;;;x
wc_defiledartifacts2_desc;Blasphemous Relics;;Blasphemische Relikte;;;;;;;;;;;x
wc_defiledartifacts3_desc;Cursed Idols;;Verfluchte Götzen;;;;;;;;;;;x
wc_defiledartifacts4_desc;Blighted Artifacts;;Verdorbene Artefakte;;;;;;;;;;;x
wc_ruinedtemple1;Necromancer Shrine;Mausolée;Nekromantenschrein;;;;;;;;;;;x
wc_ruinedtemple2;Necrotheneum;Nécrothénée;Nekrotheneum;;;;;;;;;;;x
wc_ruinedtemple3;Blighted Tower;Tour profanée;Verdorbener Turm;;;;;;;;;;;x
wc_ruinedtemple4;Necromantic Citadel;Citadelle nécromantique;Nekromantische Zitadelle;;;;;;;;;;;x
wc_ruinedtemple1_desc;Necromancer Shrine;;Nekromantenschrein;;;;;;;;;;;x
wc_ruinedtemple2_desc;Necrotheneum;;Nekrotheneum;;;;;;;;;;;x
wc_ruinedtemple3_desc;Blighted Tower;;Verdorbener Turm;;;;;;;;;;;x
wc_ruinedtemple4_desc;Necromantic Citadel;;Nekromantische Zitadelle;;;;;;;;;;;x
wc_defiledtomb1;Descrated Graves;Tombes profanées;Entweihte Gräber;;;;;;;;;;;x
wc_defiledtomb2;Plagued Graveyard;Cimetière souillé;Verseuchter Friedhof;;;;;;;;;;;x
wc_defiledtomb3;Defiled Tombs;Tombeau souillé;Verdorbene Grabmäler;;;;;;;;;;;x
wc_defiledtomb4;Blood Soaked Catacombs;Catacombes rouges;Blut-durchtränkte Katakomben;;;;;;;;;;;x
wc_defiledtomb1_desc;Descrated Graves;;Entweihte Gräber;;;;;;;;;;;x
wc_defiledtomb2_desc;Plagued Graveyard;;Verseuchter Friedhof;;;;;;;;;;;x
wc_defiledtomb3_desc;Defiled Tombs;;Verdorbene Grabmäler;;;;;;;;;;;x
wc_defiledtomb4_desc;Blood Soaked Catacombs;;Blut-durchtränkte Katakomben;;;;;;;;;;;x
wc_undeadmarina1;Small Undead Marina;Petite marine morte-vivante;Kleiner untoter Hafen;;;;;;;;;;;x
wc_undeadmarina2;Undead Marina;Marine morte-vivante;Untoter Hafen;;;;;;;;;;;x
wc_undeadmarina3;Large Undead Marina;Grande marine morte-vivante;Großer untoter Hafen;;;;;;;;;;;x
wc_undeadmarina4;Massive Undead Marina;Marine morte-vivante colossale;Gewaltiger untoter Hafen;;;;;;;;;;;x
wc_undeadmarina1_desc;Small Undead Marina;;Kleiner untoter Hafen;;;;;;;;;;;x
wc_undeadmarina2_desc;Undead Marina;;Untoter Hafen;;;;;;;;;;;x
wc_undeadmarina3_desc;Large Undead Marina;;Großer untoter Hafen;;;;;;;;;;;x
wc_undeadmarina4_desc;Massive Undead Marina;;Gewaltiger untoter Hafen;;;;;;;;;;;x
wc_stower1;Dark Tower;Tour sombre;Dunkler Turm;;;;;;;;;;;x
wc_stower2;Unholy Entrenchment;Retranchement blasphématoire;Unheilige Verschanzung;;;;;;;;;;;x
wc_stower1_desc;Dark Tower;;Dunkler Turm;;;;;;;;;;;x
wc_stower2_desc;Unholy Entrenchment;;Unheilige Verschanzung;;;;;;;;;;;x
wc_spatrols1;Light Undead Garrison;Garnison d'infanterie légère morte-vivante;Leichte untote Garnison;;;;;;;;;;;x
wc_spatrols2;Heavy Undead Garrison;Garnison d'infanterie lourde morte-vivante;Schwere untote Garnison;;;;;;;;;;;x
