#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
creature_human;Human;Humain;Mensch;;;;;;;;;;;x
creature_orc_desc;Wild cinnamon or green-skinned orcs - natives of Draenor, who have recently arrived in Azeroth. Orc men are massive and horrific looking creatures, while most orc women are slightly shorter than most human men (and some of them are of the same height). Orcs have broad shoulders and muscular, strong bodies. To their enemies, they are beasts and fearsome opponents, unparalleled in their ferocity and cunning. But to their allies, orcs are noble and generous. For an orc, skill in battle brings great honour. Honour is the basic concept that lies in at the heart of the orc society, a concept that has driven their race to unite before great threats. Orcs seem quick-tempered, but they are honoured by the wisdom of their leaders and their shamans.;;Wilde, zimtfarbene oder grünhäutige Orks - Einwohner von Draenor, die erst kürzlich in Azeroth angekommen sind. Orkische Männer sind massige und entsetzlich aussehende Kreaturen, während die meisten Orkfrauen etwas kleiner sind als die Menschen. Orks haben breite Schultern und muskulöse, starke Körper. Für ihre Feinde sind sie Bestien und furchterregende Gegner von beispielloser Wildheit und Durchtriebenheit. Ihren Verbündeten gegenüber verhalten sich Orks stets edelmütig und großzügig. Die größte Auszeichnung für einen Ork ist der Erfolg in der Schlacht. Ehre ist das Grundkonzept, auf dem eine jede Gesellschaft der Orks gründet, und das diese Rasse gegenüber großen Bedrohungen vereint. Orks wirken äußerst hitzköpfig, doch gibt es unter ihnen auch weise Führer und Schamanen.;;;;;;;;;;;x
guardian_of_tirisfal;Guardian of Tirisfal;Gardien de Tirisfal;Wächter von Tirisfal;;;;;;;;;;;x
guardian_of_tirisfal_desc;The Guardian of Tirisfal is a mortal champion selected by the Council of Tirisfal - a secret organisation including mages of humans, gnomes, and high elves - endowed with great magical powers to fight against the Burning Legion. When the Guardian grows old or gets tired of the endless fight against the chaos, the council selects a new guardian and gives him the power of his predecessor. For each generation, there is only one guardian, but due to his enormous magical power, he is able to fight against all demons invading Azeroth.;;Der Wächter von Tirisfal ist ein sterblicher Champion, der vom Rat von Tirisfal auserkoren wurde - einer Geheimorganisation, die Magier von Menschen, Gnomen und Hochelfen umfasst - und mit großen magischen Kräften ausgestattet ist, um gegen die brennende Legion zu kämpfen. Wenn der Wächter alt wird oder den endlosen Kampf gegen das Chaos leid ist, wählt der Rat einen neuen Wächter aus und überträgt ihm die Macht seines Vorgängers. In jeder Generation gibt es nur einen Wächter, aber dank seiner enormen magischen Kraft ist er in der Lage, gegen alle Dämonen zu kämpfen, die in Azeroth eindringen.;;;;;;;;;;;x
tinker;Tinker;Ingénieur;Tüftler;;;;;;;;;;;x
tinker_desc;Tinkers are one of the most intellectually developed types of azerothian adventurers. They are the creators of incredible inventions, from insane multi-purpose knives to chainsaws and steam tanks. Their inventions allow them to overcome almost any trouble they may face. And yet, despite all their help to society, engineers possess poor reputations as dangerous outcasts - mainly because of endless goblin experiments with explosives.;;Tüftler sind eine der intellektuell am weitesten entwickelten Arten von azerothischen Abenteurern. Sie sind die Schöpfer unglaublicher Erfindungen, von verrückten Mehrzweckmessern über Kettensägen bis hin zu Dampfpanzern und Flugmaschinen. Ihre Erfindungen ermöglichen es ihnen, fast jede Schwierigkeit zu überwinden, der sie ausgesetzt sind. Und doch genießen Tüftler trotz aller Hilfe für die Gesellschaft einen schlechten Ruf als gefährliche Ausgestoßene - vor allem wegen der endlosen Goblinexperimente mit Sprengstoffen.;;;;;;;;;;;x
explorer;Explorer;Explorateur;Entdecker;;;;;;;;;;;x
explorer_desc;Explorers are those brave souls who risk their lives for the sake of science and the expansion of the common store of knowledge for all inhabitants of Azeroth. They may also be scientists studying the societies of past centuries and travelers who provide a description of new territories and erase the void from maps of Azeroth.;;Entdecker sind jene tapferen Seelen, die ihr Leben für die Wissenschaft und die Erweiterung des gemeinsamen Wissensspeichers für alle Bewohner Azeroths riskieren. Es können auch Wissenschaftler sein, die die Gesellschaften vergangener Jahrhunderte studieren, und Reisende, die neue Gebiete beschreiben und die weißen Flecken auf den Karten Azeroths ausfüllen.;;;;;;;;;;;x
creature_naga;Naga;Naga;Naga;;;;;;;;;;;x
creature_naga_desc;The naga little resemble the nobility they once were. Their proud appearance has been warped and distorted, many of them received a number of special changes characteristic of the sea depths they now call their home, such as an ability to release ink, tentacles, sharp scales, poisonous fangs, strong shells of mollusks, serpents instead of hair, large and sharp dorsal fins, and strong tails. The naga adopted a matriarchal system in ancient times, as the witches and sirens developed stronger intellect and magical capabilities to control the entire community of naga. Males, who lost most of their magical powers during their transformation, acquired inhuman physical strength, and now constitute the main strike force of naga armies. In general, their exile has only strengthened the cruel nature of these sadistic creatures.;;Die Naga ähneln wenig dem Adel, der sie einst waren. Ihr stolzes Aussehen wurde verzerrt und entstellt, viele von ihnen erhielten eine Reihe von besonderen Veränderungen, die für die Tiefen des Meeres charakteristisch sind, wie z.B. die Fähigkeit, Tinte, Tentakel, scharfe Schuppen, giftige Reißzähne, starke Muschelschalen, Schlangen anstelle von Haaren, große und scharfe Rückenflossen und starke Schwänze freizusetzen. In der Antike wurde eine matriarchale Gesellschaft gegründet, als die Hexen und Sirenen einen stärkeren Intellekt und magische Fähigkeiten entwickelten, um die gesamte Gemeinschaft der Naga zu kontrollieren. Männer, die während ihrer Transformation die meisten ihrer magischen Kräfte verloren haben, erwarben unmenschliche körperliche Kräfte und bilden heute die Hauptstreitkraft der Naga-Armeen. Im Allgemeinen hat ihr Exil die böse, hinterhältige Natur dieser nackten und sadistischen Kreaturen nur noch verstärkt.;;;;;;;;;;;x
creature_blood_elf;Blood Elf;Elfe de sang;Blutelf;;;;;;;;;;;x
creature_blood_elf_desc;The blood elves are a race formed from the high elves of Quel'Thalas. In honour of their dead brethren, the survivors call themselves blood elves or Sin'dorei, which in thalassian means "children of blood". Both high elves and blood elves, regardless of class, status or origin, are fond of magic and are somewhat addicted to it. But, unlike their original Quel'dorei brethren, all Sin'dorei siphon away the magical power off other beings. On average, blood elves are slightly taller than humans and considerably thinner in bone structure. Most of them have chiseled, regular features. The Quel'dorei heritage is expressed in light skin and golden hue of hair, although among the Sin'dorei, there are elves with unnaturally pale or unexpectedly swarthy complexions.;;Die Blutelfen sind eine Rasse, die aus den Hochelfen von Quel'Thalas hervorgegangen ist. Zu Ehren ihrer toten Brüder nennen sich die Überlebenden Blutelfen oder Sin'dorei, was auf thalassisch Kinder des Blutes bedeutet. Sowohl Hochelfen als auch Blutelfen, unabhängig von Klasse, Status oder Herkunft, erfreuen sich der Magie und haben eine gewisse Sucht nach ihr. Aber im Gegensatz zu ihren ursprünglichen Quel'dorei-Brüdern saugen alle Sin'dorei die magische Kraft anderer Wesen aus. Im Durchschnitt sind Blutelfen etwas größer als der Mensch und wesentlich schlanker im Knochenbau. Die meisten von ihnen weisen scharfe, ebenmäßige Gesichtszüge auf. Das Erbe der Quel'dorei drückt sich in heller Haut und goldener Haarfarbe aus, obwohl es unter den Sin'dorei auch Elfen mit unnatürlich hellem oder ungewöhnlich dunklem Teint gibt.;;;;;;;;;;;x
creature_high_elf;High Elf;Haut-elfe;Hochelf;;;;;;;;;;;x
creature_high_elf_desc;The high elves, or Quel'dorei, are the absolute opposite of their cousins - the night elves (or Kaldorei). The Quel'dorei are the descendants of those who served Azshara at the time of the first Well of Eternity, they took the light of the sun and left the darkness of the night. High elves are typically taller and more slender than humans. They are distinguished from the night elves by shorter ears and being smaller in stature, among other physical differences. Quel'dorei are thin, have fair skin, and perfectly fair facial features - many of them are regarded as beautiful. However, despite their external beauty, high elves are quite narcissistic. The high elves used magic for generations, absorbing it with their mothers' milk. Even among those lacking a natural talent for magic, high elves cannot live or even think clearly if they do not receive their necessary mana requirement on a regular basis.;;Die Hochelfen, oder Quel'dorei, sind das absolute Gegenteil ihrer Cousins - der Nachtelfen (oder Kaldorei). Die Quel'dorei sind die Nachkommen derer, die Azshara zum Zeitpunkt des ersten Brunnens der Ewigkeit dienten. Sie nahmen das Licht der Sonne an und verließen die Dunkelheit der Nacht. Hochelfen sind typischerweise größer und schlanker als Menschen. Sie unterscheiden sich von den Nachtelfen durch kürzere Ohren und deutlich kleineren Wuchs, neben anderen körperlichen Unterschieden. Quel'dorei weisen eine helle Haut, dünne und perfekte Gesichtszüge auf - viele von ihnen gelten als schön. Trotz ihrer äußeren Schönheit sind Hochelfen jedoch ziemlich narzisstisch. Die Hochelfen nutzten die Magie über Generationen hinweg und nahmen sie mit der Muttermilch auf. Selbst diejenigen, denen es am natürlichen Talent für Magie mangelt, können ohne ihre regelmäßige Dosis an Mana nicht klar denken.;;;;;;;;;;;x
creature_gnome;Gnome;Gnome;Gnom;;;;;;;;;;;x
creature_gnome_desc;Gnomes are a tiny race of technicians, mechanics, and inventors, known for their ingenious minds and eccentric character. Gnomes are very small - child-size - hardly more than a meter in height, and weigh only about twenty kilograms. Despite their small growth, they are quick and clever. For their small body, they have a disproportionately large head, almost the size of the rest of the body. Within these oversized skulls, all gnomes have the mind of a genius: the desire for invention, especially complex mechanical devices, is inlaid by nature, although some of these inventions are very dangerous.;;Gnome sind eine kleine Rasse von Technikern, Mechanikern und Erfindern, bekannt für ihren genialen Verstand und ihren exzentrischen Charakter. Gnome sind sehr klein - etwa so groß wie menschliche Kinder - und wiegen nur etwa zwanzig Kilogramm. Ungeachtet ihres geringen Wachstums sind sie schnell und clever. Für ihren kleinen Körper haben sie einen überproportional großen Kopf, fast so groß wie der Rest des Körpers. In diesen überdimensionalen Schädeln haben alle Gnomen den Verstand eines Genies: Der Erfindungsdrang, insbesondere nach komplexen mechanischen Geräten, ist von Natur aus eingeprägt, obwohl einige dieser Erfindungen sehr gefährlich sind.;;;;;;;;;;;x
creature_dwarf;Dwarf;Nain;Zwerg;;;;;;;;;;;x
creature_dwarf_desc;Dwarfs are small and stocky creatures that most often live in the mountains of Khaz Modan, the central part of the continent of the Eastern Kingdoms. Due to their physical attributes, they have excellent strength and endurance. A usual dwarf is stable, observant, and always ready for work or battle. He can be violent and angry or stubborn and persistent, depending on the situation. Although dwarves prefer to plan their actions in advance to overcome trouble, many of them will lose their temper when their feelings come into play. Many generations of dwarves are famous for their unsurpassed skill in working on metal and stone. They are masters of blacksmithing, and their jewelry, armor, and weapons are made perfectly.;;Zwerge sind kleine und stämmige Kreaturen, die vor allem in den Bergen von Khaz Modan leben, dem zentralen Teil des Kontinents der östlichen Königreiche. Aufgrund ihrer körperlichen Eigenschaften verfügen sie über eine ausgezeichnete Kraft und Ausdauer. Ein gewöhnlicher Zwerg ist standfest, wachsam und immer bereit für Arbeit oder Kampf. Er kann gewalttätig und wütend oder stur und hartnäckig sein, je nach Situation. Obwohl Zwerge es vorziehen, ihre Handlungen im Voraus zu planen, um Schwierigkeiten zu überwinden, werden viele von ihnen die Beherrschung verlieren, wenn ihre Gefühle ins Spiel kommen. Viele Generationen von Zwergen sind bekannt für ihre unübertroffene Fähigkeit, Metall und Stein zu bearbeiten. Sie sind Meister der Schmiedekunst, und ihr Schmuck, ihre Rüstung und ihre Waffen sind perfekt gefertigt.;;;;;;;;;;;x
creature_kobold;Kobold;Kobold;Kobold;;;;;;;;;;;x
creature_kobold_desc;Kobolds are a cowardly race of miners and chandlers who resemble large and lean anthropoid rats who spend most of their life underground. The kobold race has a rather obsessive mindset of mining ores and digging tunnels - they grab any abandoned mine and pick up any tools remaining there whenever they have a chance to do so with impunity. Of all the ores that can be mined in the earth, they are especially fond of gold. It seems that their race lives in darkness for the most part - but that is nothing but a common myth. The kobolds in the mines rely on the light of their candles, which they wear directly on their heads, zealously guarding them against the hands of others.;;Kobolde sind eine feige Rasse von Bergarbeitern und Kerzenherstellern, die großen und mageren menschenähnlichen Ratten ähneln und den größten Teil ihres Lebens unter Tage verbringen. Die Kobolde haben eine recht obsessive Einstellung zum Abbau von Erzen und zum Graben von Tunneln - sie nehmen jede verlassene Mine ein und nehmen alle dort verbliebenen Werkzeuge mit, zumindest wann immer sie die Möglichkeit haben, dies ungestraft zu tun. Von allen Erzen, die in der Welt abgebaut werden können, sind sie besonders goldhungrig. Es hat den Anschein, dass ihre Rasse größtenteils in der Dunkelheit lebt - aber das ist nicht der Fall. Die Kobolde in den Minen verlassen sich auf das Licht ihrer Kerzen, die sie direkt auf dem Kopf tragen und eifrig vor den Händen anderer schützen.;;;;;;;;;;;x
class_mage_1;Worthless Mage I;Mage sans valeur I;Zauberlehrling I;;;;;;;;;;;x
class_mage_1_desc;Mages are experienced practitioners of Arcane magic. If they are capable of bringing the universe's chaotic Arcane energies under control, Mages can unlock a wide berth of destructive and supportive capabilities.;;Magier sind erfahrene Praktizierende der arkanen Magie. Wenn sie in der Lage sind, die chaotischen arkanen Energien des Universums unter Kontrolle zu bringen, können Magier eine Vielzahl von destruktiven und unterstützenden Fähigkeiten entfalten.;;;;;;;;;;;x
class_mage_2;Novice Mage II;Mage novice II;Magiernoviz[From.GeteFemaleOpp][From.GetinFemale] II;;;;;;;;;;;x
class_mage_2_desc;Mages are experienced practitioners of Arcane magic. If they are capable of bringing the universe's chaotic Arcane energies under control, Mages can unlock a wide berth of destructive and supportive capabilities.;;Magier sind erfahrene Praktizierende der arkanen Magie. Wenn sie in der Lage sind, die chaotischen arkanen Energien des Universums unter Kontrolle zu bringen, können Magier eine Vielzahl von destruktiven und unterstützenden Fähigkeiten entfalten.;;;;;;;;;;;x
class_mage_3;Apprentice Mage III;Mage apprenti III;Adept[From.GetinFemale] III;;;;;;;;;;;x
class_mage_3_desc;Mages are experienced practitioners of Arcane magic. If they are capable of bringing the universe's chaotic Arcane energies under control, Mages can unlock a wide berth of destructive and supportive capabilities.;;Magier sind erfahrene Praktizierende der arkanen Magie. Wenn sie in der Lage sind, die chaotischen arkanen Energien des Universums unter Kontrolle zu bringen, können Magier eine Vielzahl von destruktiven und unterstützenden Fähigkeiten entfalten.;;;;;;;;;;;x
class_mage_4;Experienced Mage IV;Mage expérimenté IV;Magier[From.GetinFemale] IV;;;;;;;;;;;x
class_mage_4_desc;Mages are experienced practitioners of Arcane magic. If they are capable of bringing the universe's chaotic Arcane energies under control, Mages can unlock a wide berth of destructive and supportive capabilities.;;Magier sind erfahrene Praktizierende der arkanen Magie. Wenn sie in der Lage sind, die chaotischen arkanen Energien des Universums unter Kontrolle zu bringen, können Magier eine Vielzahl von destruktiven und unterstützenden Fähigkeiten entfalten.;;;;;;;;;;;x
class_mage_5;Skilled Mage V;Mage qualifié V;Gelehrte[From.GetrMale] Magier[From.GetinFemale] V;;;;;;;;;;;x
class_mage_5_desc;Mages are experienced practitioners of Arcane magic. If they are capable of bringing the universe's chaotic Arcane energies under control, Mages can unlock a wide berth of destructive and supportive capabilities.;;Magier sind erfahrene Praktizierende der arkanen Magie. Wenn sie in der Lage sind, die chaotischen arkanen Energien des Universums unter Kontrolle zu bringen, können Magier eine Vielzahl von destruktiven und unterstützenden Fähigkeiten entfalten.;;;;;;;;;;;x
class_mage_6;Expert Mage VI;Mage expert VI;Arkanist[From.GetinFemale] VI;;;;;;;;;;;x
class_mage_6_desc;Mages are experienced practitioners of Arcane magic. If they are capable of bringing the universe's chaotic Arcane energies under control, Mages can unlock a wide berth of destructive and supportive capabilities.;;Magier sind erfahrene Praktizierende der arkanen Magie. Wenn sie in der Lage sind, die chaotischen arkanen Energien des Universums unter Kontrolle zu bringen, können Magier eine Vielzahl von destruktiven und unterstützenden Fähigkeiten entfalten.;;;;;;;;;;;x
class_mage_7;Great Mage VII;Grand Mage VII;Holomant[From.GetinFemale] VII;;;;;;;;;;;x
class_mage_7_desc;Mages are experienced practitioners of Arcane magic. If they are capable of bringing the universe's chaotic Arcane energies under control, Mages can unlock a wide berth of destructive and supportive capabilities.;;Magier sind erfahrene Praktizierende der arkanen Magie. Wenn sie in der Lage sind, die chaotischen arkanen Energien des Universums unter Kontrolle zu bringen, können Magier eine Vielzahl von destruktiven und unterstützenden Fähigkeiten entfalten.;;;;;;;;;;;x
class_mage_8;Master Mage VIII;Maître Mage VIII;Meisterhafte[From.GetrMale] Magier[From.GetinFemale] VIII;;;;;;;;;;;x
class_mage_8_desc;Mages are experienced practitioners of Arcane magic. If they are capable of bringing the universe's chaotic Arcane energies under control, Mages can unlock a wide berth of destructive and supportive capabilities.;;Magier sind erfahrene Praktizierende der arkanen Magie. Wenn sie in der Lage sind, die chaotischen arkanen Energien des Universums unter Kontrolle zu bringen, können Magier eine Vielzahl von destruktiven und unterstützenden Fähigkeiten entfalten.;;;;;;;;;;;x
class_mage_9;Grand Master Mage IX;Grand Maître Mage IX;Großmagier[From.GetinFemale] IX;;;;;;;;;;;x
class_mage_9_desc;Mages are experienced practitioners of Arcane magic. If they are capable of bringing the universe's chaotic Arcane energies under control, Mages can unlock a wide berth of destructive and supportive capabilities.;;Magier sind erfahrene Praktizierende der arkanen Magie. Wenn sie in der Lage sind, die chaotischen arkanen Energien des Universums unter Kontrolle zu bringen, können Magier eine Vielzahl von destruktiven und unterstützenden Fähigkeiten entfalten.;;;;;;;;;;;x
class_mage_10;Legendary Mage X;Mage légendaire X;Legendäre[From.GetrMale] Magier[From.GetinFemale] X;;;;;;;;;;;x
class_mage_10_desc;Mages are experienced practitioners of Arcane magic. If they are capable of bringing the universe's chaotic Arcane energies under control, Mages can unlock a wide berth of destructive and supportive capabilities.;;Magier sind erfahrene Praktizierende der arkanen Magie. Wenn sie in der Lage sind, die chaotischen arkanen Energien des Universums unter Kontrolle zu bringen, können Magier eine Vielzahl von destruktiven und unterstützenden Fähigkeiten entfalten.;;;;;;;;;;;x
class_hunter_1;Worthless Hunter I;Chasseur sans valeur I;Nutzlose[From.GetrMale] Jäger[From.GetinFemale] I;;;;;;;;;;;x
class_hunter_1_desc;Hunters are skilled and experienced marksmen. In a fight, Hunters meet their foe with the same ferocity any woodsman would find in a wild animal.;;Jäger sind fähige und erfahrene Scharfschützen. In einem Kampf begegnen Jäger ihrem Feind mit der gleichen Grausamkeit, die jeder Holzfäller in einem Wildtier antreffen würde.;;;;;;;;;;;x
class_hunter_2;Novice Hunter II;Chasseur novice II;Jägernoviz[From.GeteFemaleOpp][From.GetinFemale] II;;;;;;;;;;;x
class_hunter_2_desc;Hunters are skilled and experienced marksmen. In a fight, Hunters meet their foe with the same ferocity any woodsman would find in a wild animal.;;Jäger sind fähige und erfahrene Scharfschützen. In einem Kampf begegnen Jäger ihrem Feind mit der gleichen Grausamkeit, die jeder Holzfäller in einem Wildtier antreffen würde.;;;;;;;;;;;x
class_hunter_3;Apprentice Hunter III;Chasseur apprenti III;Jägerlehrling III;;;;;;;;;;;x
class_hunter_3_desc;Hunters are skilled and experienced marksmen. In a fight, Hunters meet their foe with the same ferocity any woodsman would find in a wild animal.;;Jäger sind fähige und erfahrene Scharfschützen. In einem Kampf begegnen Jäger ihrem Feind mit der gleichen Grausamkeit, die jeder Holzfäller in einem Wildtier antreffen würde.;;;;;;;;;;;x
class_hunter_4;Experienced Hunter IV;Chasseur expérimenté IV;Erfahrene[From.GetrMale] Jäger[From.GetinFemale] IV;;;;;;;;;;;x
class_hunter_4_desc;Hunters are skilled and experienced marksmen. In a fight, Hunters meet their foe with the same ferocity any woodsman would find in a wild animal.;;Jäger sind fähige und erfahrene Scharfschützen. In einem Kampf begegnen Jäger ihrem Feind mit der gleichen Grausamkeit, die jeder Holzfäller in einem Wildtier antreffen würde.;;;;;;;;;;;x
class_hunter_5;Skilled Hunter V;Chasseur qualifié V;Begabte[From.GetrMale] Jäger[From.GetinFemale] V;;;;;;;;;;;x
class_hunter_5_desc;Hunters are skilled and experienced marksmen. In a fight, Hunters meet their foe with the same ferocity any woodsman would find in a wild animal.;;Jäger sind fähige und erfahrene Scharfschützen. In einem Kampf begegnen Jäger ihrem Feind mit der gleichen Grausamkeit, die jeder Holzfäller in einem Wildtier antreffen würde.;;;;;;;;;;;x
class_hunter_6;Expert Hunter VI;Chasseur expert VI;Jagdexpert[GeteFemaleOpp][From.GetinFemale] VI;;;;;;;;;;;x
