#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
upgrade_construct_quarter_desc;This corridor of the necropolis is completely dedicated to the construction of undead amalgamations bent on serving the Scourge.;Ce couloir de la nécropole est entièrement dédié à la construction d'assemblages de morts-vivants au service du Fléau.;Dieser Flügel der Nekropole ist vollständig der Erschaffung untoter Golems gewidmet, die im Dienste der Geißel stehen.;;;;;;;;;;;x
upgrade_moarg_workshops;Mo'arg Workshops;Ateliers mo'arg;Mo'arg Werkstätten;;;;;;;;;;;x
upgrade_moarg_workshops_desc;These workshops are worked by the engineers of the Legion, the Mo'arg, and they work to pump out demonic armaments and equipment for our soldiers.;Ces ateliers sont exploités par les ingénieurs de la Légion, les Mo'arg, qui fabriquent des armements et des équipements démoniaques pour nos soldats.;Diese Werkstätten werden von den Ingenieuren der Legion, den Mo'arg, betrieben und sie arbeiten unablässig daran, Waffen und Ausrüstung für unsere dämonischen Soldaten bereitzustellen.;;;;;;;;;;;x
upgrade_condemned_halls;Condemned Halls;Salles condamnées;Verlassene Hallen;;;;;;;;;;;x
upgrade_condemned_halls_desc;These halls echo with the whispers of the Old Gods, and they serve as a large gathering place for their crazed followers.;Ces salles font écho aux murmures des Dieux très anciens et servent de grand lieu de rassemblement pour leurs adeptes fous.;In diesen Hallen kann man das Flüstern der alten Götter vernehmen, und sie dienen als großer Versammlungsort für ihre verrückten Anhänger.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#General;;;;;;;;;;;;;;x
upgrade_stained_glass_window_desc;A beautiful piece of art reflecting a mythical scene.;Une belle œuvre d'art reflétant une scène mythique.;Ein schönes Kunstwerk, das eine mystische Szene widerspiegelt.;;;;;;;;;;;x
upgrade_giant_cross;Giant Spire;Flèche géante;Riesige Spitze;;;;;;;;;;;x
upgrade_giant_cross_desc;On top of the [FromFrom.GetWonderTypeShortCap] is a big spire, embellishing the silhouette of the building.;Au sommet du [FromFrom.GetWonderTypeShortCap] se trouve une grande flèche, qui embellit la silhouette du bâtiment.;Auf der Decke der [FromFrom.GetWonderTypeShortCap] befindet sich ein großer Turm, der die Silhouette des Gebäudes verschönert.;;;;;;;;;;;x
upgrade_collection_architecture_desc;The secrets of building great edifices, roads, and bridges are revealed in the classical works of ancient authors.;Les secrets de la construction des grands édifices, des routes et des ponts sont révélés dans les ouvrages classiques des auteurs anciens.;Die Geheimnisse des Baus großer Gebäude, Straßen und Brücken werden in den klassischen Werken alter Autoren offenbart.;;;;;;;;;;;x
upgrade_collection_math_desc;From the works of Kaldorei thinkers, to the most recent treatises on mathematics.;Des travaux des penseurs kaldorei aux traités les plus récents sur les mathématiques.;Von den Werken der kaldoreiischen Denker bis hin zu den neuesten Abhandlungen über Mathematik.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#Historical wonder upgrades;;;;;;;;;;;;;;x
upgrade_forge_of_wills;Forge of Wills;Forge des Volontés;Schmiede des Willens;;;;;;;;;;;x
upgrade_forge_of_wills_desc;The Forge of Wills, accessed in the Halls of Stone, alongside the Forge of Origination in Uldum are great machines devised to empower Azeroth. Stretching underneath the Storm Peaks, the titanic watchers Mimiron and Archaedas built the Forge of Wills. The forge infuses Azeroth's world-soul with cosmic energies to shape her sentience, and through the use of Azeroth's life essence, sentient life is created. This is how the titan-forged and their Curse of Flesh afflicted descendants came to be.. ;La Forge des volontés a été construite par les Titans pour renforcer l'Azeroth endormi. Elle peut également utiliser ses énergies pour créer des légions de guerriers forgés-par-les-Titans.;Die Schmiede des Willens, die von den Hallen des Steins aus zugänglich ist, ist eine von zwei großen Maschinen neben der Schmiede des Ursprungs in Uldum, die entwickelt wurde, um Azeroth zu stärken.  Unterhalb der Sturmgipfel errichteten die titanischen Wächter Mimiron und Archaedas die Schmiede des Willens. Die Schmiede füllt die Weltseele Azeroths mit kosmischen Energien, um ihr Bewusstsein zu formen, und durch die Verwendung von Azeroths Lebensessenz kann fühlendes Leben geschaffen werden. So entstanden die Titanengeschmiedeten und ihre Nachkommen, die vom Fluch des Fleisches heimgesucht wurden.;;;;;;;;;;;x
upgrade_silithid_greathive;Great Silithid Hive;Grande ruche silithide;Großer Silithiden-Schwarmstock;;;;;;;;;;;x
upgrade_silithid_greathive_desc;The great silithid hive located in Ahn'Qiraj houses the biggest of their queens who is constantly laying eggs to produce armies of inscetoid warriors.;La grande ruche silithide d'Ahn'Qiraj abrite la plus grande de leurs reines, qui pond constamment des œufs pour produire des armées de guerriers inscétoïdes.;Der große Silithiden-Schwarmstock in Ahn'Qiraj beherbergt die größte ihrer Königinnen, die unermüdlich Eier legt, um Armeen insektoider Krieger zu produzieren.;;;;;;;;;;;x
upgrade_crucible_of_storms;Crucible of Storms;Creuset des Tempêtes;Tiegel der Stürme;;;;;;;;;;;x
upgrade_crucible_of_storms_desc;A long-submerged evil stirs beneath the Shrine of the Storm. The whispers that drive to madness echo within the depths, a siren song of eldritch power. Those who listen and obey prepare dark rituals to carry out their master’s will.;Un mal longtemps englouti s'agite sous le Sanctuaire des Tempêtes. Les murmures qui poussent à la folie résonnent dans les profondeurs, un chant de sirène de la puissance des anciens. Ceux qui écoutent et obéissent préparent de sombres rituels pour exécuter la volonté de leur maître.;Unter dem Heiligtum des Sturms rührt sich ein lange versunkenes Übel. In den Tiefen hallt das in den Wahnsinn treibende Flüstern wider, ein Sirenengesang von überirdischer Kraft. Diejenigen, die lauschen und gehorchen, bereiten dunkle Rituale vor, um den Willen ihres Meisters zu erfüllen.;;;;;;;;;;;x
upgrade_queens_court;Queen's Court;;Gericht der Königin;;;;;;;;;;;x
upgrade_queens_court_desc;For ten thousand years, the Queen's Court has never failed to enforce the word of Azshara.;;Seit zehntausend Jahren hat das Gericht der Königin nie darin versagt, dem Wort von Azshara Geltung zu verschaffen.;;;;;;;;;;;x
upgrade_darkest_depths;Darkest Depths;;Dunkelste Tiefen;;;;;;;;;;;x
upgrade_darkest_depths_desc;An abyss so dark that not even the naga dare to venture into it.;;Ein Abgrund, der so dunkel ist, dass sich nicht einmal die Naga in ihn hinein trauen.;;;;;;;;;;;x
upgrade_azshara_bedchamber;Azshara's Bedchamber;;Azsharas Schlafgemach;;;;;;;;;;;x
upgrade_azshara_bedchamber_desc;The sleeping chamber of Queen Azshara. No being that has tried peeking inside lived to tell the tale.;;Die Schlafkammer von Königin Azshara. Kein Wesen, das versucht hat, hineinzuspähen, hat überlebt, um die Geschichte zu erzählen.;;;;;;;;;;;x
upgrade_hatchery;Hatchery;;Brutstätte;;;;;;;;;;;x
upgrade_hatchery_desc;Both Naga and their monstrous pets are incubated here.;;Sowohl Naga als auch ihre monströsen Haustiere werden hier ausgebrütet.;;;;;;;;;;;x
upgrade_queen_statue;Queen's Statue;;Statue der Königin;;;;;;;;;;;x
upgrade_queens_statue_desc;A giant statue of The Light Beneath the Tides.;;Eine riesige Statue des Lichts unter den Gezeiten.;;;;;;;;;;;x
upgrade_royal_guard_barracks;Royal Guard Barracks;;Kaserne der Königlichen Garde;;;;;;;;;;;x
upgrade_royal_guard_barracks_desc;The quarters of Royal Guard of Her Radiance.;;Das Quartier der königlichen Garde Ihrer Strahlkraft.;;;;;;;;;;;x
upgrade_gate_of_the_queen;Gate of the Queen;;Tor der Königin;;;;;;;;;;;x
upgrade_gate_of_the_queen_desc;All who enter the magnificent Eternal Palace have to pass through these gates.;;Alle, die den prächtigen Ewigen Palast betreten, müssen durch diese Tore gehen.;;;;;;;;;;;x
upgrade_royal_treasury;Royal Treasury;;Königliche Schatzkammer;;;;;;;;;;;x
upgrade_royal_treasury_desc;The greatest treasures and wonders of the seven seas are stored here.;;Hier lagern die größten Schätze und Wunder der sieben Weltmeere.;;;;;;;;;;;x
upgrade_coral_grove;Coral Grove;;Korallenhain;;;;;;;;;;;x
upgrade_coral_grove_desc;This mysterious grove is home to many Coral Ancients.;;Dieser geheimnisvolle Hain ist die Heimat vieler Korallen-Urtürme.;;;;;;;;;;;x
upgrade_kaldorei_ruins;Kaldorei Ruins;;Kaldorei-Ruinen;;;;;;;;;;;x
upgrade_kaldorei_ruins_desc;These ruins harbour many forgotten secrets of the ancient Kaldorei Empire.;;Diese Ruinen beherbergen viele vergessene Geheimnisse des alten Kaldorei-Reiches.;;;;;;;;;;;x
upgrade_hard_coral_palace;Hard Coral Palace;;Hartkorallen-Palast;;;;;;;;;;;x
upgrade_hard_coral_palace_desc;The summer palace of the Queen of Tides.;;Der Sommerpalast der Königin der Gezeiten.;;;;;;;;;;;x
upgrade_soft_coral_garden;Soft Coral Garden;;Weichkorallengarten;;;;;;;;;;;x
upgrade_soft_coral_garden_desc;A garden brimming with rare and beautiful soft corals.;;Ein Garten voll mit seltenen und schönen Weichkorallen.;;;;;;;;;;;x
upgrade_azshara_retreat;Azshara's Retreat;;Azsharas Zuflucht;;;;;;;;;;;x
upgrade_azshara_retreat_desc;A famous annual royal picnic that is organised by Azshara herself takes place here every year.;;Hier findet jedes Jahr ein berühmtes königliches Picknick statt, das von Azshara selbst organisiert wird.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#Old Gods;;;;;;;;;;;;;;x
upgrade_old_god_cthun_1;C'Thun, Old God of Madness;;C'Thun, der alte Gott des Wahnsinns;;;;;;;;;;;x
upgrade_old_god_cthun_1_desc;An ancient being of unfathomable power and evil.;;Ein uraltes Wesen von unergründlicher Macht und Bösartigkeit.;;;;;;;;;;;x
upgrade_old_god_cthun_2;C'Thun, Old God of Madness;;C'Thun, der alte Gott des Wahnsinns;;;;;;;;;;;x
upgrade_old_god_cthun_2_desc;An ancient being of unfathomable power and evil.;;Ein uraltes Wesen von unergründlicher Macht und Bösartigkeit.;;;;;;;;;;;x
upgrade_old_god_nzoth_1;N'Zoth, Old God of Corruption;;N'Zoth, der Verderber;;;;;;;;;;;x
upgrade_old_god_nzoth_1_desc;An ancient being of unfathomable power and evil.;;Ein uraltes Wesen von unergründlicher Macht und Bösartigkeit.;;;;;;;;;;;x
upgrade_old_god_nzoth_2;N'Zoth, Old God of Corruption;;N'Zoth, der Verderber;;;;;;;;;;;x
upgrade_old_god_nzoth_2_desc;An ancient being of unfathomable power and evil.;;Ein uraltes Wesen von unergründlicher Macht und Bösartigkeit.;;;;;;;;;;;x
upgrade_old_god_yogg_saron_1;Yogg-Saron, Old God of Death;;Yogg-Saron, der alte Gott des Todes;;;;;;;;;;;x
upgrade_old_god_yogg_saron_1_desc;An ancient being of unfathomable power and evil.;;Ein uraltes Wesen von unergründlicher Macht und Bösartigkeit.;;;;;;;;;;;x
upgrade_old_god_yogg_saron_2;Yogg-Saron, Old God of Death;;Yogg-Saron, der alte Gott des Todes;;;;;;;;;;;x
upgrade_old_god_yogg_saron_2_desc;An ancient being of unfathomable power and evil.;;Ein uraltes Wesen von unergründlicher Macht und Bösartigkeit.;;;;;;;;;;;x
upgrade_yak_graveyard;Yak Graveyard;;Yak-Friedhof;;;;;;;;;;;x
upgrade_yak_graveyard_desc;A dedicated place for your beloved yaks to rest forever more.;;Ein Ort, an dem Eure geliebten Yaks für immer ruhen können.;;;;;;;;;;;x
upgrade_yak_stable_desc;A great stable which houses numerous yaks during the long winter nights. This building can rival the stables of the legendary khans of old.;;Ein großer Stall, der in den langen Winternächten zahlreiche Yaks beherbergt. Dieses Gebäude kann es mit den Ställen der legendären Khans von einst aufnehmen.;;;;;;;;;;;x
upgrade_stable_vanilla_desc;A stable containing horses, but most importantly, the ones descending from the original chosen creature depicted in the grand monument rising above the roof of this building.;Une écurie abritant des chevaux, mais surtout, ceux qui descendent de la créature choisie originale représentée dans le grand monument s'élevant au-dessus du toit de ce bâtiment.;Ein Stall mit Pferden. Er beherbergt aber vor allem die, die von der ursprünglich ausgewählten Kreatur abstammen, die in dem großen Monument dargestellt ist und sich über über dem Dach dieses Gebäudes erhebt.;;Un establo con caballos, pero en especial, con los descendientes de la criatura elegida original que aparece en el gran monumento que se alza sobre el tejado de este edificio.;;;;;;;;;x
