#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
train_young_druid_desc;You have trained many new druids in the Cenarion Circle. Maybe you should invite one of them to join your court ?;;Ihr habt viele neue Druiden im Zirkel des Cenarius ausgebildet. Vielleicht solltet lhr einen von ihnen einladen, sich Eurem Hof anzuschließen?;;;;;;;;;;;x
build_cenarion_enclave;Build Cenarion Enclave;;Errichtung die Enklave des Cenarius;;;;;;;;;;;x
build_cenarion_enclave_desc;Invite your fellow members to create a Cenarion Enclave in your lands.;;Ladet Eure Mitmitglieder ein, eine Enklave des Cenarius in Euren Ländern zu gründen.;;;;;;;;;;;x
raise_host_of_the_wilds;Raise Host of the Wilds;;Versammelt die Schar der Wildnis;;;;;;;;;;;x
raise_host_of_the_wilds_desc;Cenarion Circle has many powerful creatures of forest among its members. Now in the time of war you can unleash them upon enemies of Azeroth.;;Der Zirkel des Cenarius hat viele mächtige Waldgeschöpfe unter seinen Mitgliedern. Jetzt, in der Zeit des Krieges, könnt Ihr sie gegen die Feinde Azeroths einsetzen.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
cenarion_circle;Cenarion Circle;;Zirkel des Cenarius;;;;;;;;;;;x
cenarion_circle_desc;Named in honor of the demigod Cenarius, the Cenarion Circle ensures the protection of nature and its creatures. Furthermore, the members of this faction act as keepers of ancient lore and pay particular attention to the traditional ways of the druids. In their role of protectors of nature, the men and women of the Cenarion Circle also strive to maintain the fragile balance within the world.;;Der Zirkel des Cenarius, der zu Ehren des Halbgottes Cenarius benannt wurde, gewährleistet den Schutz der Natur und ihrer Geschöpfe. Darüber hinaus fungieren die Mitglieder dieser Fraktion als Hüter der alten Überlieferungen und achten besonders auf die traditionellen Wege der Druiden. In ihrer Rolle als Beschützer der Natur streben die Männer und Frauen des Zirkels des Cenarius auch danach, das empfindliche Gleichgewicht in der Welt zu erhalten.;;;;;;;;;;;x
currency_name_cenarion_circle;Harmony;;Harmonie;;;;;;;;;;;x
cenarion_circle_rank_1_male;Tender;;Jüngling;;;;;;;;;;;x
cenarion_circle_rank_1_female;Tender;;Jüngling;;;;;;;;;;;x
cenarion_circle_rank_2_male;Hierophant;;Hierophant;;;;;;;;;;;x
cenarion_circle_rank_2_female;Hierophant;;Hierophantin;;;;;;;;;;;x
cenarion_circle_rank_3_male;Instructor;;Lehrmeister;;;;;;;;;;;x
cenarion_circle_rank_3_female;Instructor;;Lehrmeisterin;;;;;;;;;;;x
cenarion_circle_rank_4_male;Archdruid;;Erzdruide;;;;;;;;;;;x
cenarion_circle_rank_4_female;Archdruid;;Erzdruidin;;;;;;;;;;;x
cenarion_circle_rank_5_male;Leader;;Anführer;;;;;;;;;;;x
cenarion_circle_rank_5_female;Leader;;Anführerin;;;;;;;;;;;x
;;;;;;;;;;;;;;x
sisterhood_of_elune;Sisterhood of Elune;;Schwesternschaft von Elune;;;;;;;;;;;x
sisterhood_of_elune_desc;The Sisterhood of Elune could be the oldest night elf religious and magical order, predating the quel'dorei by some 2,000 years. As the name implies, they are an order of priestesses dedicated to the worship and servitude of the moon goddess, Elune. The Sisterhood is led by the High Priestess of Elune while the priestesses of Moon are the elite of the organization. They have existed long before the Great Sundering, and formal worship dates back about 15,000 years.;;Die Schwesternschaft von Elune könnte der älteste religiöse und magische Orden der Nachtelfen sein, seit etwa 2.000 Jahren vor der Quel'dorei. Wie der Name schon sagt, handelt es sich um einen Priesterinnenorden, der der Verehrung und dem Dienst an der Mondgöttin Elune gewidmet ist. Die Schwesternschaft wird von der Hohepriesterin von Elune geleitet, während die Mondpriesterinnen die Elite der Organisation sind. Sie existieren schon lange vor der großen Teilung, und die offizielle Anbetung reicht etwa 15.000 Jahre zurück.;;;;;;;;;;;x
currency_name_sisterhood_of_elune;Devotion;;Hingabe;;;;;;;;;;;x
sisterhood_of_elune_rank_1_male;Novice;;Novize;;;;;;;;;;;x
sisterhood_of_elune_rank_1_female;Novice;;Novizin;;;;;;;;;;;x
sisterhood_of_elune_rank_2_male;Disciple;;Schüler;;;;;;;;;;;x
sisterhood_of_elune_rank_2_female;Disciple;;Schülerin;;;;;;;;;;;x
sisterhood_of_elune_rank_3_male;Priest;;Priester;;;;;;;;;;;x
sisterhood_of_elune_rank_3_female;Priestess;;Priesterin;;;;;;;;;;;x
sisterhood_of_elune_rank_4_male;Priest of the Moon;;Mondpriester;;;;;;;;;;;x
sisterhood_of_elune_rank_4_female;Priestess of the Moon;;Mondpriesterin;;;;;;;;;;;x
sisterhood_of_elune_rank_5_male;High Priest;;Hohepriester;;;;;;;;;;;x
sisterhood_of_elune_rank_5_female;High Priestess;;Hohepriesterin;;;;;;;;;;;x
;;;;;;;;;;;;;;x
become_priestess_of_elune;Become Priestess of Elune;;Werdet eine Priesterin von Elune;;;;;;;;;;;x
become_priestess_of_elune_desc;Train to become devotee of Moon Goddess.;;Trainiert um eine Anhängerin der Mondgöttin zu werden.;;;;;;;;;;;x
train_disciple;Train Disciple;;Trainiert einen Schüler;;;;;;;;;;;x
train_disciple_desc;You have trained many new priestesses in the Sisterhood of Elune. Maybe you should invite one of them to join your court ?;;Ihr habt viele neue Priesterinnen in der Schwesternschaft von Elune ausgebildet. Vielleicht solltet Ihr einen von ihnen einladen, sich Eurem Hof anzuschließen?;;;;;;;;;;;x
build_temple_of_elune;Build Temple of Elune;;Errichtet den Tempel von Elune;;;;;;;;;;;x
build_temple_of_elune_desc;Use ressources of Sisterhood to create new temple in your lands.;;Nutzt die Ressourcen der Schwesternschaft von Elune um einen neuen Tempel in Eurem Land zu errichten.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
enter_emerald_dream;Enter Emerald Dream;;Betretet den smaragdgrünen Traum;;;;;;;;;;;x
enter_emerald_dream_desc;Druid should spend their lives in the Emerald Dream. Use the decision in the §YIntrigue§! menu, to enter it.;;Druiden sollten ihr Leben im smaragdgrünen Traum verbringen. Benutzen Sie die Entscheidung im Menü §YIntrige§!, um ihn zu betreten.;;;;;;;;;;;x
enter_emerald_dream_tooltip;To complete this quest use §YEnter Emerald Dream§! decision in the §YIntrigue§! menu.;;Um diese Mission abzuschließen, benutzt die Entscheidung §YBetretet den smaragdgrünen Traum§! im Menü §YIntrige§!.;;;;;;;;;;;x
mission_theology;Pick Theology Focus;;Theologie-Fokus wählen;;;;;;;;;;;x
mission_theology_desc;Focusing on theology is most fitting for your way of life.;;Die Fokussierung auf die Theologie ist am besten für Eure Lebensweise geeignet.;;;;;;;;;;;x
mission_theology_tooltip;To complete this quest pick Theology focus.;;Um diese Mission abzuschließen, wählt den Theologie-Fokus.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
write_libram;Write Libram;;Schreibt einen Folianten;;;;;;;;;;;x
write_libram_desc;As a experienced paladin, you can use your wisdom and piety to write a holy book.;;Als erfahrener Paladin könnt lhr Eure Weisheit und Frömmigkeit dazu einsetzen, ein heiliges Buch zu schreiben.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
libram_of_protection;Libram of Protection;;Foliant des Schutzes;;;;;;;;;;;x
libram_of_protection_desc;This Libram is among the church's most ancient relics. It was given to Turalyon by Alonsus Faol, who challenged him to become living embodiment of what this holy tome represents.;;Dieser Foliant zählt zu den ältesten Relikten der Kirche. Er wurde Turalyon von Alonsus Faol geschenkt, der ihn dazu aufrief, die Verkörperung dessen, was dieser heilige Band darstellt, zu werden.;;;;;;;;;;;x
libram_of_justice;Libram of Justice;;Foliant der Gerechtigkeit;;;;;;;;;;;x
libram_of_justice_desc;This Libram is among the church's most ancient relics. It was given to Uther by Alonsus Faol, who challenged him to become living embodiment of what this holy tome represents.;;Dieser Foliant zählt zu den ältesten Relikten der Kirche. Es wurde Uther von Alonsus Faol überreicht, der ihn dazu aufforderte, die lebendige Verkörperung dessen zu werden, was dieser heilige Band darstellt.;;;;;;;;;;;x
libram_of_retribution;Libram of Retribution;;Foliant der Vergeltung;;;;;;;;;;;x
libram_of_retribution_desc;This Libram is among the church's most ancient relics. It was given to Tirion Fordring by Alonsus Faol, who challenged him to become living embodiment of what this holy tome represents.;;Dieser Foliant zählt zu den ältesten Relikten der Kirche. Es wurde Tirion Fordring von Alonsus Faol überreicht, der ihn dazu aufforderte,  die lebendige Verkörperung dessen zu werden, was dieser heilige Band darstellt.;;;;;;;;;;;x
libram_of_holiness;Libram of Holiness;;Foliant der Heiligkeit;;;;;;;;;;;x
libram_of_holiness_desc;This Libram is among the church's most ancient relics. It was given to Saidan Dathrohan by Alonsus Faol, who challenged him to become living embodiment of what this holy tome represents.;;Dieser Foliant zählt zu den ältesten Relikten der Kirche. Es wurde Saidan Dathrohan von Alonsus Faol gegeben, der ihn dazu aufforderte, die lebendige Verkörperung dessen zu werden, was dieser heilige Band darstellt.;;;;;;;;;;;x
libram_of_compassion;Libram of Compassion;;Foliant der Barmherzigkeit;;;;;;;;;;;x
libram_of_compassion_desc;This Libram is among the church's most ancient relics. It was given to Gavinrad by Alonsus Faol, who challenged him to become living embodiment of what this holy tome represents.;;Dieser Foliant zählt zu den ältesten Relikten der Kirche. Es wurde Gavinrad von Alonsus Faol gegeben, der ihn dazu aufforderte, die lebendige Verkörperung dessen zu werden, was dieser heilige Band darstellt.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
libram_of_guardianship_01;Libram of Guardianship;;Foliant der Pflegschaft;;;;;;;;;;;x
libram_of_guardianship_02;Libram of Guardianship;;Foliant der Pflegschaft;;;;;;;;;;;x
libram_of_guardianship_03;Libram of Guardianship;;Foliant der Pflegschaft;;;;;;;;;;;x
libram_of_righteousness_01;Libram of Righteousness;;Foliant der Rechtschaffenheit;;;;;;;;;;;x
libram_of_righteousness_02;Libram of Righteousness;;Foliant der Rechtschaffenheit;;;;;;;;;;;x
libram_of_righteousness_03;Libram of Righteousness;;Foliant der Rechtschaffenheit;;;;;;;;;;;x
libram_of_reckoning_01;Libram of Reckoning;;Foliant der Abrechnung;;;;;;;;;;;x
libram_of_reckoning_02;Libram of Reckoning;;Foliant der Abrechnung;;;;;;;;;;;x
libram_of_reckoning_03;Libram of Reckoning;;Foliant der Abrechnung;;;;;;;;;;;x
libram_of_devoutness_01;Libram of Devoutness;;Foliant der Frömmigkeit;;;;;;;;;;;x
libram_of_devoutness_02;Libram of Devoutness;;Foliant der Frömmigkeit;;;;;;;;;;;x
libram_of_devoutness_03;Libram of Devoutness;;Foliant der Frömmigkeit;;;;;;;;;;;x
;;;;;;;;;;;;;;x
forge_runeblade;Forge Runeblade;;Schmiedet eine Runenklinge;;;;;;;;;;;x
forge_runeblade_desc;Use unholy magic to forge a powerful runic blade.;;Benutze unheilige Magie, um eine mächtige Runenklinge zu schmieden.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
runeblade_unholy_1;Unholy Runeblade;;Unheilige Runenklinge;;;;;;;;;;;x
runeblade_unholy_2;Unholy Runeblade;;Unheilige Runenklinge;;;;;;;;;;;x
runeblade_unholy_3;Unholy Runeblade;;Unheilige Runenklinge;;;;;;;;;;;x
runeblade_blood_1;Blood Runeblade;;Blutige Runenklinge;;;;;;;;;;;x
runeblade_blood_2;Blood Runeblade;;Blutige Runenklinge;;;;;;;;;;;x
runeblade_blood_3;Blood Runeblade;;Blutige Runenklinge;;;;;;;;;;;x
runeblade_frost_1;Frost Runeblade;;Runenklinge des Frosts;;;;;;;;;;;x
runeblade_frost_2;Frost Runeblade;;Runenklinge des Frosts;;;;;;;;;;;x
runeblade_frost_3;Frost Runeblade;;Runenklinge des Frosts;;;;;;;;;;;x
;;;;;;;;;;;;;;x
nick_the_dire;the Dire;;der Schreckliche;;;;;;;;;;;x
nick_the_hungering;the Hungering;;der Hungernde;;;;;;;;;;;x
tauren_totem;Tauren Totem;;Taurentotem;;;;;;;;;;;x
tauren_totem_desc;Tauren Totem;;Das Totem eines Taurenhäuptlings.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
remnant_of_caer_darrow;Remnant of Caer Darrow;;Überreste von Caer Darrow;;;;;;;;;;;x
;;;;;;;;;;;;;;x
become_ogre_mage;Become Two-headed Ogre;;Werdet ein zweiköpfiger Oger;;;;;;;;;;;x
become_ogre_mage_desc;Use powerful magical energies to turn yourself into two-headed ogre.;;Setz mächtige magische Energien ein, um Euch in einen zweiköpfigen Oger zu verwandeln.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
turn_into_ogre_mage;Turn into Two-headed Ogre;;Verwandelt in zweiköpfigen Oger;;;;;;;;;;;x
turn_into_ogre_mage_desc;Use powerful magical energies to turn someone into two-headed ogre.;;Setz mächtige magische Energien ein, um jemanden in einen zweiköpfigen Oger zu verwandeln.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
EVTDESC_WCSAD.1;You start preparing the ritual to honor local elementals. First you choose hill known for having strong connection to elements and spirit as place of your ritual. There is also a question of who will oversee the ceremony.;;;;;;;;;;;;;x
EVTOPTA_WCSAD.1;I will ask local shaman for help.;;;;;;;;;;;;;x
EVTOPTB_WCSAD.1;I will do it by myself.;;;;;;;;;;;;;x
EVTDESC_WCSAD.2;Nearly everything needed for the ritual is prepared. Only thing you still lack are traditional offerings for the elementals. Shaman explains to you that according to tradition you should be the one to gather them. However should someone of your status gather flowers and rocks ?;;;;;;;;;;;;;x
EVTOPTA_WCSAD.2;Buy them from the alchemist.;;;;;;;;;;;;;x
EVTOPTB_WCSAD.2;I will gather them myself as tradition commands.;;;;;;;;;;;;;x
EVTDESC_WCSAD.3;Nearly everything needed for the ritual is prepared. Only thing you still lack are traditional offerings for the elementals.;;;;;;;;;;;;;x
EVTOPTA_WCSAD.3;I will gather them myself as tradition commands.;;;;;;;;;;;;;x
EVTDESC_WCSAD.4;After gathering all ingredients you journey to the nearby hill.After few hours of travel you arrive at your destination. Despite the fact that the hill looks unimpressive you can feel the presence of the elemental spirits all around you.;;;;;;;;;;;;;x
EVTOPTA_WCSAD.4;Start the ceremony.;;;;;;;;;;;;;x
EVTDESC_WCSAD.5;After quick preparation the ritual has started. Nearly a hour has passed but slowly elementals has started gathering on the hill. They look at you silently, waiting for you to talk. You thank them for their help, for this land in which your people live. In response you you see a beatiful spectacle, the elementals dancing all around you in perfect harmony.;;;;;;;;;;;;;x
EVTOPTA_WCSAD.5;Our land will prosper with help of the spirits.;;;;;;;;;;;;;x
EVTOPTB_WCSAD.5;I'm honored.;;;;;;;;;;;;;x
EVTDESC_WCSAD.6;After quick preparation the ritual has started. Nearly a hour has passed but slowly elementals has started gathering on the hill. They look at you silently, waiting for you to talk. You ask for their help, so this land will thrive like never before. In response you you see a terrific spectacle. The ground is shaking, the sky is roaring and flooding the land with rain.;;;;;;;;;;;;;x
EVTOPTA_WCSAD.6;What have we done !;;;;;;;;;;;;;x
EVTOPTB_WCSAD.6;What have I done !;;;;;;;;;;;;;x
EVTDESC_WCSAD.20;You start the the ritual with placing the gifts on the altar, after that you close your eyes and wait. Some time later you can see several transparent humanoid shapes forming before your eyes. They seem to wait for you to talk.;;;;;;;;;;;;;x
EVTOPTA_WCSAD.20;I seek power to destroy my enemies.;;;;;;;;;;;;;x
EVTOPTB_WCSAD.20;I seek guidance from my forefathers.;;;;;;;;;;;;;x
EVTOPTC_WCSAD.20;I seek wisdom of those before me.;;; ;;;;;;;;;;x
EVTDESC_WCSAD.21;After hearing your pleas the spirits of your ancestors quickly vanish, leaving you with nothing more than a positive fealing that you have been heard.;;;;;;;;;;;;;x
EVTOPTA_WCSAD.21;I will not bring shame to our name !;;;;;;;;;;;;;x
EVTOPTB_WCSAD.21;I will bring prosperity to our lands !;;;;;;;;;;;;;x
EVTOPTC_WCSAD.21;I will pass this wisdom to my descendants !;;;;;;;;;;;;;x
EVTDESC_WCSAD.30;You gathered with elders to prepare ritual to the venerable Earth Mother. One of them suggested that we should focus on her left eye Mu'sha instead. He was however countered by proposition to honor An'she, the rigth eye. After long argument, elders look to you for decision.;;;;;;;;;;;;;x
EVTOPTA_WCSAD.30;Prepare a ritual to Eart Mother.;;;;;;;;;;;;;x
EVTOPTB_WCSAD.30;Prepare a ritual to Mu'sha.;;;;;;;;;;;;;x
EVTOPTC_WCSAD.30;Prepare a ritual to An'she.;;;;;;;;;;;;;x
EVTDESC_WCSAD.31;After long ceremonies and prayers, the ritual has finnaly come to an end. With each minute you can feel something changing within you. It seems you have truly been blessed.;;;;;;;;;;;;;x
EVTOPTA_WCSAD.31;I'm thankful for your protection.;;;;;;;;;;;;;x
EVTOPTB_WCSAD.31;May the Moon's light protect me.;;;;;;;;;;;;;x
EVTOPTC_WCSAD.31;May the Sun's light protect me.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
EVTDESC_WCSAD.40;Powerful elementals can be a great help in dire times. What kind of elemental you seek help from ?;;;;;;;;;;;;;x
EVTOPTA_WCSAD.40;I will seek help from earth elemental.;;;;;;;;;;;;;x
EVTOPTB_WCSAD.40;I will seek help from water elemental.;;;;;;;;;;;;;x
EVTOPTC_WCSAD.40;I will seek help from air elemental.;;;;;;;;;;;;;x
EVTOPTD_WCSAD.40;I will seek help from fire elemental.;;;;;;;;;;;;;x
EVTOPTE_WCSAD.40;I will seek help from ice elemental.;;;;;;;;;;;;;x
EVTOPTF_WCSAD.40;I will seek help from sand elemental.;;;;;;;;;;;;;x
