#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
honor_local_spirits;Honour Local Elementals;Honorer les élémentaires locaux;Ehrt die einheimischen Elementare;;;;;;;;;;;x
approach_powerful_elemental;Approach Powerful Elemental;Approcher de puissants élémentaires;Anrufung mächtiger Elementare;;;;;;;;;;;x
approach_powerful_elemental_desc;Seek out a powerful elemental to ask for his support.;Recherchez un élémentaire puissant pour lui demander son soutien.;Sucht ein mächtiges Elementarwesen und bittet um seine Unterstützung.;;;;;;;;;;;x
tidesages_blessing_decision;Ask Tidesages to Bless Land;Demandez aux eaugures de bénir la terre;Bittet die Gezeitenweisen, das Land zu segnen;;;;;;;;;;;x
tidesages_blessing_decision_desc;Ask powerful tidesages to bless the land so it may prosper.;Demandez aux eaugures de bénir la terre pour qu'elle puisse prospérer.;Bittet die mächtigen Gezeitenweisen, das Land zu segnen, damit es erblühen möge.;;;;;;;;;;;x
lesser_tidesages_blessing;Lesser Tidesages Blessing;Bénédiction des eaugures mineure;Geringer Segen der Gezeitenweisen;;;;;;;;;;;x
tidesages_blessing;Tidesages Blessing;Bénédiction des eaugures;Segen der Gezeitenweisen;;;;;;;;;;;x
#LINE_REMOVED_DONT_TOUCH;Elune's Blessing;Bénédiction d'Élune;Elunes Segen;;;;;;;;;;;x
#LINE_REMOVED_DONT_TOUCH;Greater Elune's Blessing;Bénédiction d'Élune majeure;Elunes großer Segen;;;;;;;;;;;x
#LINE_REMOVED_DONT_TOUCH;Pray to Elune;Prier Élune;Betet zu Elune;;;;;;;;;;;x
#LINE_REMOVED_DONT_TOUCH;Worship Elune as the night elves did for thousands of years.;Adorez ?lune comme l'ont fait les Elfes de la nuit pendant des milliers d'ann?es.;Verehrt Elune, wie es die Nachtelfen seit Tausenden von Jahren tun.;;;;;;;;;;;x
request_the_gift;Request the Gift;Demander le Don;Erbittet eine Gabe;;;;;;;;;;;x
request_the_gift_desc;Request the gift of worgen blood to become part of the pack.;Demandez le don du sang des Worgens pour faire partie de la meute.;Erbittet die Gabe des Worgenbluts, um ein Teil des Rudels zu werden.;;;;;;;;;;;x
ritual_to_twin_gods;Ritual to Twin Gods;Rituel des Dieux jumeaux;Ritual der Zwillingsgötter;;;;;;;;;;;x
ritual_to_twin_gods_desc;Prepare the ritual to twin gods, Ursoc and Ursol.;Préparez le rituel aux Dieux jumeaux, Ursoc et Ursol.;Bereitet ein Ritual zu Ehren der Zwillingsgötter Ursoc und Ursol vor.;;;;;;;;;;;x
seek_wd_blessing;Seek out Wild God;À la recherche du Dieu sauvage;Sucht einen wilden Gott auf;;;;;;;;;;;x
seek_wd_blessing_desc;Try to find one of the Wild Gods and ask for the blessing.;Essayez de trouver l'un des dieux sauvages et demandez sa bénédiction.;Versucht, einen wilden Gott ausfindig zu machen, und bittet um seinen Segen.;;;;;;;;;;;x
mark_of_ursoc;Mark of Ursoc;Marque d'Ursoc;Zeichen von Ursoc;;;;;;;;;;;x
mark_of_ursol;Mark of Ursol;Marque d'Ursol;Zeichen von Ursol;;;;;;;;;;;x
blessing_of_ashamane;Blessing of Ashamane;Bénédiction d'Ashamane;Ashamanes Segen;;;;;;;;;;;x
blessing_of_aviana;Blessing of Aviana;Bénédiction d'Aviana;Avianas Segen;;;;;;;;;;;x
blessing_of_ursoc;Blessing of Ursoc;Bénédiction d'Ursoc;Ursocs Segen;;;;;;;;;;;x
blessing_of_goldrinn;Blessing of Goldrinn;Bénédiction de Goldrinn;Goldrinns Segen;;;;;;;;;;;x
blessing_of_malorne;Blessing of Malorne;Bénédiction de Malorne;Malornes Segen;;;;;;;;;;;x
worgen_hunt;Worgen Hunt;Chasse worgen;Worgenjagd;;;;;;;;;;;x
worgen_hunt_desc;Use your beastly power to hunt game.;Utilisez votre pouvoir bestial pour chasser le gibier.;Nutzt Eure tierische Kraft um Wild zu jagen.;;;;;;;;;;;x
request_potion;Ask Harvest-Witch to Prepare Potion;Demander à la sorcière des moissons de préparer une potion;Bittet eine Erntehexe einen Trank zu brauen;;;;;;;;;;;x
request_potion_desc;Ask a local harvest-witch to prepare a powerful potion.;Demandez à la sorcière des moissons locale de préparer une potion;Bittet eine einheimische Erntehexe, Euch einen machtvollen Trank zu brauen.;;;;;;;;;;;x
potion_of_speech;Potion of Speech;Potion d'élocution;Trank des Vortrags;;;;;;;;;;;x
potion_of_strength;Potion of Strength;Potion de force;Trank der Stärke;;;;;;;;;;;x
potion_of_thrift;Potion of Thrift;Potion d'économie;Trank der Tüchtigkeit;;;;;;;;;;;x
potion_of_cunning;Potion of Cunning;Potion de ruse;Trank der Verschlagenheit;;;;;;;;;;;x
potion_of_wisdom;Potion of Wisdom;Potion de sagesse;Trank der Weisheit;;;;;;;;;;;x
learn_cat_form;Learn Cat Form;Apprendre la forme de félin;Lernt die Katzenform;;;;;;;;;;;x
learn_cat_form_desc;Learn how to shapeshift into a great cat.;Apprenez à vous métamorphoser en un grand félin.;Lernt, Euch in eine Großkatze zu verwandeln.;;;;;;;;;;;x
learn_bear_form;Learn Bear Form;Apprendre la forme d'ours;Lernt die Bärenform;;;;;;;;;;;x
learn_bear_form_desc;Learn how to shapeshift into a great bear.;Apprenez à vous métamorphoser en un grand ours.;Lernt, Euch in einen Bären zu verwandeln.;;;;;;;;;;;x
learn_talon_form;Learn Talon Form;Apprendre la forme de vol;Lernt die Klauenform;;;;;;;;;;;x
learn_talon_form_desc;Learn how to shapeshift into a great bird.;Apprenez à vous métamorphoser en un grand oiseau.;Lernt, Euch in eine Krähe zu verwandeln.;;;;;;;;;;;x
learn_stag_form;Learn Stag Form;Apprendre la forme de cerf;Lernt die Hirschform;;;;;;;;;;;x
learn_stag_form_desc;Learn how to shapeshift into a great stag.;Apprenez à vous métamorphoser en un grand cerf.;Lernt, Euch in einen Hirsch zu verwandeln.;;;;;;;;;;;x
learn_master_cat_form;Master Cat Form;Maîtrise de la forme de félin;Meistert die Katzenform;;;;;;;;;;;x
learn_master_cat_form_desc;Attain mastery over the §YCat Form§!;Atteignez la maîtrise de la §Yforme de félin§!.;Erlangt Meisterschaft über die §YKatzenform§!.;;;;;;;;;;;x
learn_master_bear_form;Master Bear Form;Maîtrise de la forme d'ours;Meistert die Bärenform;;;;;;;;;;;x
learn_master_bear_form_desc;Attain mastery over the §YBear Form§!.;Atteignez la maîtrise de la §Yforme d'ours§!.;Erlangt Meisterschaft über die §YBärenform§!.;;;;;;;;;;;x
learn_master_talon_form;Master Talon Form;Maîtrise de la forme de vol;Meistert die Klauenform;;;;;;;;;;;x
learn_master_talon_form_desc;Attain mastery over the §YTalon Form§!.;Atteignez la maîtrise de la §Yforme de vol§!.;Erlangt Meisterschaft über die §YKlauenform§!.;;;;;;;;;;;x
cat_form_druid;Cat Form;Forme de félin;Katzenform;;;;;;;;;;;x
cat_form_druid_desc;Shapeshift into the §YCat Form§!.;Changement en §Yforme de félin§!.;Verwandelt Euch in eine §YGroßkatze§!.;;;;;;;;;;;x
bear_form_druid;Bear Form;Forme d'ours;Bärenform;;;;;;;;;;;x
bear_form_druid_desc;Shapeshift into the §YBear Form§!.;Changement en §Yforme d'ours§!.;Verwandelt Euch in einen §YBären§!.;;;;;;;;;;;x
talon_form_druid;Talon Form;Forme de vol;Klauenform;;;;;;;;;;;x
talon_form_druid_desc;Shapeshift into the §YTalon Form§!.;Changement en §Yforme de vol§!.;Verwandelt Euch in einen §YFalken§!.;;;;;;;;;;;x
stag_form_druid;Stag Form;Forme de cerf;Hirschform;;;;;;;;;;;x
stag_form_druid_desc;Shapeshift into the §YStag Form§!.;Changement en §Yforme de cerf%.;Verwandelt Euch in einen §YHirsch§!.;;;;;;;;;;;x
pack_form_druid;Pack Form;Forme de la meute;Wolfsform;;;;;;;;;;;x
pack_form_druid_desc;Shapeshift into the §YPack Form§!.;Changement en §Yforme de la meute§!.;Verwandelt Euch in einen §YWolf§!.;;;;;;;;;;;x
shapeshift_back_druid;Shapeshift Back;Annuler le changement de forme;Zurückverwandeln;;;;;;;;;;;x
shapeshift_back_druid_desc;Shapeshift back into your normal body.;Reprenez votre forme normale.;Verwandelt Euch in Eure normale Gestalt zurück.;;;;;;;;;;;x
enter_emerald_dream_decision;Enter the Emerald Dream;Entrer dans le Rêve d'émeraude;Betretet den smaragdgrünen Traum;;;;;;;;;;;x
enter_emerald_dream_decision_desc;Leave the boundaries of the physical world and enter the Emerald Dream.;Quittez les limites du monde physique et entrez dans le Rêve d'émeraude.;Verlasst die Grenzen der physischen Welt und betretet den smaragdgrünen Traum.;;;;;;;;;;;x
leave_emerald_dream;Leave the Emerald Dream;Quitter le Rêve d'émeraude;Verlasst den smaragdgrünen Traum;;;;;;;;;;;x
leave_emerald_dream_desc;Go back to your body in the physical world.;Retournez à votre corps dans le monde physique.;Kehrt in Euren Körper in der physischen Welt zurück.;;;;;;;;;;;x
ask_for_ancient_mark;Ask Ancient for Mark;Demandez la marque des Anciens;Bittet die Urtume um ein Zeichen;;;;;;;;;;;x
ask_for_ancient_mark_desc;Many ancients are part of the Cenarion Circle. You can ask one of them to mark you with its power.;De nombreux Anciens font partie du Cercle cénarien. Vous pouvez demander à l'un d'eux de vous octroyer la marque de son pouvoir.;Viele Urtume sind Teil des Zirkels des Cenarius. Ihr könnt einen von ihnen bitten, Euch mit seiner Kraft zu versehen.;;;;;;;;;;;x
train_with_archdruids;Train with Archdruids;S'entraîner avec un archidruide;Trainiert mit den Erzdruiden;;;;;;;;;;;x
train_with_archdruids_desc;One of the purposes of the Cenarion Circle is to spread druidic knowledge in Azeroth. You can ask them for training, increasing your class level in the process.;L'un des objectifs du Cercle cénarien est de diffuser le savoir druidique en Azeroth. Vous pouvez leur demander de vous former, ce qui vous permettra d'augmenter votre niveau de classe.;Einer der Zwecke des Zirkels des Cenarius ist es, druidisches Wissen an die Bewohner Azeroths weiterzugeben. Ihr könnt sie um Training bitten und dabei Euer Klassenlevel erhöhen.;;;;;;;;;;;x
train_young_druid;Train Young Druid;Entraîner un jeune druide;Trainiert einen jungen Druiden;;;;;;;;;;;x
train_young_druid_desc;You have trained many new druids in the Cenarion Circle. Maybe you should invite one of them to join your court?;Vous avez formé de nombreux nouveaux druides au sein du Cercle cénarien. Peut-être devriez-vous inviter l'un d'entre eux à rejoindre votre cour ?;Ihr habt viele neue Druiden im Zirkel des Cenarius ausgebildet. Vielleicht solltet lhr einen von ihnen einladen, sich Eurem Hof anzuschließen?;;;;;;;;;;;x
build_cenarion_enclave;Build Cenarion Enclave;Construire l'enclave cénarienne;Errichtet eine Enklave des Cenarius;;;;;;;;;;;x
build_cenarion_enclave_desc;Invite your fellow members to create a Cenarion Enclave in your lands.;Invitez vos camarades à créer une enclave cénarienne sur vos terres.;Ladet Eure Mitmitglieder ein, eine Enklave des Cenarius in Euren Ländern zu gründen.;;;;;;;;;;;x
raise_host_of_the_wilds;Raise Host of the Wilds;Rassembler les puissances de la nature;Versammelt die Schar der Wildnis;;;;;;;;;;;x
raise_host_of_the_wilds_desc;The Cenarion Circle has many powerful creatures of the forests among its members. Now in times of war you can unleash them upon your enemies.;Le Cercle cénarien compte parmi ses membres de nombreuses et puissantes créatures des forêts. En temps de guerre, vous pouvez les déchaîner sur vos ennemis.;Der Zirkel des Cenarius hat viele mächtige Waldgeschöpfe unter seinen Mitgliedern. Jetzt, in der Zeit des Krieges, könnt Ihr sie gegen die Feinde Azeroths einsetzen.;;;;;;;;;;;x
cenarion_circle;the Cenarion Circle;le Cercle cénarien;Zirkel des Cenarius;;;;;;;;;;;x
cenarion_circle_desc;Named in honour of the demigod Cenarius, the Cenarion Circle ensures the protection of nature and its creatures. Furthermore, the members of this faction act as keepers of ancient lore and pay particular attention to the traditional ways of the druids. In their role as protectors of nature, the men and women of the Cenarion Circle also strive to maintain the fragile balance within the world.;Nommé en l'honneur du demi-dieu Cénarius, le Cercle cénarien assure la protection de la nature et de ses créatures. De plus, les membres de cette faction agissent en tant que gardiens des traditions anciennes et accordent une attention particulière au mode de vie traditionnel des druides. Dans leur rôle de protecteurs de la nature, les hommes et les femmes du Cercle cénarien s'efforcent également de maintenir le fragile équilibre du monde.;Der Zirkel des Cenarius, der zu Ehren des Halbgottes Cenarius benannt wurde, gewährleistet den Schutz der Natur und ihrer Geschöpfe. Darüber hinaus fungieren die Mitglieder dieser Fraktion als Hüter der alten Überlieferungen und achten besonders auf die traditionellen Wege der Druiden. In ihrer Rolle als Beschützer der Natur streben die Männer und Frauen des Zirkels des Cenarius auch danach, das empfindliche Gleichgewicht in der Welt zu erhalten.;;;;;;;;;;;x
currency_name_cenarion_circle;Harmony;Harmonie;Harmonie;;;;;;;;;;;x
cenarion_circle_rank_1_male;Tender;Sylvenier;Jüngling;;;;;;;;;;;x
cenarion_circle_rank_1_female;Tender;Sylvenière;Jüngling;;;;;;;;;;;x
cenarion_circle_rank_2_male;Hierophant;Hiérophante;Hierophant;;;;;;;;;;;x
cenarion_circle_rank_2_female;Hierophant;Hiérophante;Hierophantin;;;;;;;;;;;x
cenarion_circle_rank_3_male;Instructor;Instructeur;Lehrmeister;;;;;;;;;;;x
cenarion_circle_rank_3_female;Instructor;Instructrice;Lehrmeisterin;;;;;;;;;;;x
cenarion_circle_rank_4_male;Keeper;Gardien;Hüter;;;;;;;;;;;x
cenarion_circle_rank_4_female;Keeper;Gardienne;Hüterin;;;;;;;;;;;x
cenarion_circle_rank_5_male;Archdruid;Archidruide;Erzdruide;;;;;;;;;;;x
cenarion_circle_rank_5_female;Archdruid;Archidruidesse;Erzdruidin;;;;;;;;;;;x
sisterhood_of_elune;the Sisterhood of Elune;les Sœurs d'Élune;Schwesternschaft von Elune;;;;;;;;;;;x
sisterhood_of_elune_desc;The Sisterhood of Elune could be the oldest night elf religious and magical order, predating the Quel'dorei by some 2,000 years. As the name implies, they are an order of priestesses dedicated to the worship and servitude of the moon goddess Elune. The sisterhood is led by the high priestess of Elune while the priestesses of the moon are the elite of the organisation. They have existed long before the Great Sundering, and formal worship dates back about 15,000 years.;Les Sœurs d'Élune est peut-être le plus ancien ordre religieux et magique des Elfes de la nuit, précédant les Quel'dorei d'environ 2 000 ans. Comme son nom l'indique, il s'agit d'un ordre de prêtresses dédié au culte et à l'adoration de la déesse de la lune Élune. L'ordre est dirigée par la grande prêtresse d'Élune tandis que les prêtresses de la Lune représentent l'élite de l'organisation. Elles existaient bien avant la Grande Fracture, et le premier culte formel remonte à plus de 15 000 ans.;Die Schwesternschaft von Elune könnte der älteste religiöse und magische Orden der Nachtelfen sein, seit etwa 2.000 Jahren vor der Quel'dorei. Wie der Name schon sagt, handelt es sich um einen Priesterinnenorden, der der Verehrung und dem Dienst an der Mondgöttin Elune gewidmet ist. Die Schwesternschaft wird von der Hohepriesterin von Elune geleitet, während die Mondpriesterinnen die Elite der Organisation sind. Sie existieren schon lange vor der großen Teilung, und die offizielle Anbetung reicht etwa 15.000 Jahre zurück.;;;;;;;;;;;x
currency_name_sisterhood_of_elune;Devotion;Dévotion;Hingabe;;;;;;;;;;;x
sisterhood_of_elune_rank_1_male;Novice;Novice;Novize;;;;;;;;;;;x
sisterhood_of_elune_rank_1_female;Novice;Novice;Novizin;;;;;;;;;;;x
sisterhood_of_elune_rank_2_male;Disciple;Disciple;Schüler;;;;;;;;;;;x
sisterhood_of_elune_rank_2_female;Disciple;Disciple;Schülerin;;;;;;;;;;;x
sisterhood_of_elune_rank_3_male;Priest;Prêtre;Priester;;;;;;;;;;;x
sisterhood_of_elune_rank_3_female;Priestess;Prêtresse;Priesterin;;;;;;;;;;;x
sisterhood_of_elune_rank_4_male;Priest of the Moon;Prêtre de la Lune;Mondpriester;;;;;;;;;;;x
sisterhood_of_elune_rank_4_female;Priestess of the Moon;Prêtresse de la Lune;Mondpriesterin;;;;;;;;;;;x
sisterhood_of_elune_rank_5_male;High Priest;Grand prêtre;Hohepriester;;;;;;;;;;;x
sisterhood_of_elune_rank_5_female;High Priestess;Grande prêtresse;Hohepriesterin;;;;;;;;;;;x
become_priestess_of_elune;Become Priestess of Elune;Devenir prêtresse d'Élune;Werdet eine Priesterin von Elune;;;;;;;;;;;x
become_priestess_of_elune_desc;Train to become a devotee of the moon goddess.;S'entraîner à devenir un adepte de la Déesse de la Lune.;Trainiert um eine Anhängerin der Mondgöttin zu werden.;;;;;;;;;;;x
train_disciple;Train Disciple;Entraîner un disciple;Trainiert eine Schülerin;;;;;;;;;;;x
train_disciple_desc;You have trained many new priestesses in the Sisterhood of Elune. Maybe you should invite one of them to join your court?;Vous avez formé de nombreuses nouvelles prêtresses au sein des sœurs d'Élune. Peut-être devriez-vous inviter l'une d'entre elles à rejoindre votre cour ?;Ihr habt viele neue Priesterinnen in der Schwesternschaft von Elune ausgebildet. Vielleicht solltet Ihr einen von ihnen einladen, sich Eurem Hof anzuschließen?;;;;;;;;;;;x
build_temple_of_elune;Build Temple of Elune;Construire le temple d'Élune;Errichtet den Tempel von Elune;;;;;;;;;;;x
build_temple_of_elune_desc;Use the resources of the sisterhood to create a new temple in your lands.;Utilisez les ressources des Sœurs pour créer un nouveau temple sur vos terres.;Nutzt die Ressourcen der Schwesternschaft von Elune um einen neuen Tempel in Eurem Land zu errichten.;;;;;;;;;;;x
quest_enter_emerald_dream;Enter the Emerald Dream;Entrer dans le Rêve d'émeraude;Betretet den smaragdgrünen Traum;;;;;;;;;;;x
quest_enter_emerald_dream_desc;Druids should spend their lives in the Emerald Dream. Use the decision in the §YIntrigue§! menu to enter it.;Les druides devraient passer leur vie dans le Rêve d'émeraude. Prenez la décision dans le menu §YIntrigue§! pour y accéder.;Druiden sollten ihr Leben im smaragdgrünen Traum verbringen. Benutzt die Entscheidung im §YIntrige§!-Menü, um ihn zu betreten.;;;;;;;;;;;x
quest_enter_emerald_dream_tooltip;To complete this quest use §YEnter the Emerald Dream§! decision in the §YIntrigue§! menu.;Pour compléter cette quête, prenez la décision §YEntrer dans le Rêve d'émeraude§ ! dans le menu §YIntrigue§ !;Um diese Mission abzuschließen, benutzt die Entscheidung §YBetretet den smaragdgrünen Traum§! im §YIntrige§!-Menü.;;;;;;;;;;;x
write_libram;Write Libram;Écrire un libram;Verfasst einen Folianten;;;;;;;;;;;x
write_libram_desc;As an experienced paladin, you can use your wisdom and piety to write a holy book.;En tant que paladin expérimenté, vous pouvez utiliser votre sagesse et votre piété pour écrire un livre sacré.;Als erfahrener Paladin könnt lhr Eure Weisheit und Frömmigkeit dazu einsetzen, ein heiliges Buch zu verfassen.;;;;;;;;;;;x
forge_runeblade;Forge Runeblade;Forger une épée runique;Schmiedet eine Runenklinge;;;;;;;;;;;x
forge_runeblade_desc;Use unholy magic to forge a powerful runic blade.;Utilisez une magie impie pour forger une puissante lame runique.;Benutzt unheilige Magie, um eine mächtige Runenklinge zu schmieden.;;;;;;;;;;;x
nick_the_dire;the Dire;[From.GetLeLa] Terrible;[From.Getderdie] Schreckliche;;;;;;;;;;;x
nick_the_hungering;the Hungering;l'Affamé[From.Get_E];[From.Getderdie] Hungernde;;;;;;;;;;;x
become_ogre_mage;Become Two-headed Ogre;Devenir un ogre à deux têtes;Werdet ein zweiköpfiger Oger;;;;;;;;;;;x
become_ogre_mage_desc;Use powerful magical energies to turn yourself into a §YTwo-headed Ogre§!.;Utilisez de puissantes énergies magiques pour vous transformer en §Yogre à deux têtes§!.;Setz mächtige magische Energien ein, um Euch in einen §YZweiköpfigen Oger§! zu verwandeln.;;;;;;;;;;;x
turn_into_ogre_mage;Turn into Two-headed Ogre;Transformer en ogre à deux têtes;Verwandelt in zweiköpfigen Oger;;;;;;;;;;;x
turn_into_ogre_mage_desc;Use powerful magical energies to turn someone into a §YTwo-headed Ogre§!.;Utilisez de puissantes énergies magiques pour transformer quelqu'un en §Yogre à deux têtes§!.;Setz mächtige magische Energien ein, um jemanden in einen §YZweiköpfigen Oger§! zu verwandeln.;;;;;;;;;;;x
EVTDESC_WCSAD.1;You start preparing the ritual to honour the local elementals. First you choose a hill known for having a strong connection to the elements and spirits as place of your ritual. There is also a question of who will oversee the ceremony.;Vous commencez à préparer le rituel pour honorer les élémentaires locaux. Vous choisissez d'abord comme lieu de votre rituel une colline connue pour avoir une forte connexion avec les éléments et les esprits. Il y a aussi la question de savoir qui va superviser la cérémonie.;Ihr beginnt mit der Vorbereitung des Rituals zu Ehren der hiesigen Elementargeister. Zuerst wählt Ihr einen Hügel, der für seine starke Verbindung zu den Elementen und Geistern bekannt ist, als Ort Eures Rituals. Es stellt sich auch die Frage, wer die Zeremonie leiten wird.;;;;;;;;;;;x
EVTOPTA_WCSAD.1;I will ask a local shaman for help.;Je vais demander de l'aide à un chaman local.;Ich werde den ansässigen Schamanen um Hilfe bitten.;;;;;;;;;;;x
EVTOPTB_WCSAD.1;I will do it by myself.;Je vais la faire seul.;Das mache ich selbst.;;;;;;;;;;;x
EVTDESC_WCSAD.2;Almost everything needed for the ritual is prepared. The only thing you still lack is the traditional offerings for the elementals. The shaman explains to you that according to tradition you should be the one to gather them. However, should someone of your status gather flowers and rocks?;Presque tout ce qui est nécessaire pour le rituel est prêt. La seule chose qui manque encore sont les offrandes traditionnelles pour les élémentaires. Le chaman vous explique que, selon la tradition, c'est vous qui devez les rassembler. Néanmoins, quelqu'un de votre statut doit-il cueillir des fleurs et des pierres ?;Fast alles, was für das Ritual benötigt wird, ist vorbereitet. Das Einzige, was Euch noch fehlt, sind die traditionellen Opfergaben für die Elementargeister. Der Schamane erklärt Euch, dass nach der Tradition Ihr derjenige sein solltet, der sie sammelt. Aber sollte jemand von Eurem Stand Blumen und Steine sammeln?;;;;;;;;;;;x
EVTOPTA_WCSAD.2;Buy them from an alchemist.;Achetez-les à un alchimiste.;Kauft sie vom Alchemisten.;;;;;;;;;;;x
EVTOPTB_WCSAD.2;I will gather them myself as tradition commands.;Je les rassemblerai moi-même, comme le veut la tradition.;Ich werde sie selbst sammeln, wie es die Tradition verlangt.;;;;;;;;;;;x
EVTDESC_WCSAD.3;Almost everything needed for the ritual is prepared. The only thing you still lack is the traditional offerings for the elementals.;Presque tout ce qui est nécessaire pour le rituel est prêt. La seule chose qui manque encore sont les offrandes traditionnelles pour les élémentaires.;Fast alles, was für das Ritual benötigt wird, ist vorbereitet. Das Einzige, was Euch noch fehlt, sind die traditionellen Opfergaben für die Elementargeister.;;;;;;;;;;;x
EVTOPTA_WCSAD.3;I will gather them myself as tradition commands.;Je les rassemblerai moi-même, comme le veut la tradition.;Ich werde sie selbst sammeln, wie es die Tradition verlangt.;;;;;;;;;;;x
EVTDESC_WCSAD.4;After gathering all the ingredients you journey to the nearby hill. After an hour of travel you arrive at your destination. Despite the fact that the hill looks unimpressive, you can feel the presence of the elemental spirits all around you.;Après avoir rassemblé tous les ingrédients, vous vous rendez sur la colline voisine. Après une heure de voyage, vous arrivez à votre destination. Malgré le fait que la colline ne soit pas impressionnante, vous pouvez sentir la présence des esprits élémentaires tout autour de vous.;Nachdem Ihr alle Zutaten gesammelt habt, reist Ihr zum nahe gelegenen Hügel. Nach einer Stunde erreicht Ihr Euer Ziel. Trotz der Tatsache, dass der Hügel unscheinbar aussieht, ist die Gegenwart der Elementargeister rund um den Hügel zu spüren.;;;;;;;;;;;x
EVTOPTA_WCSAD.4;Start the ceremony.;Commencez la cérémonie.;Beginnt die Zeremonie.;;;;;;;;;;;x
