ability_power_word_shield_desc;Дает 50% шанс, что следующий Урон будет полностью поглощен.\nВосстановление: 2 хода.;;;;;;;;;;;;;x
ability_evasion;Ускользание;;;;;;;;;;;;;x
ability_evasion_desc;Увеличивает Защиту на 50% на 2 хода.\nВосстановление: 4 хода.;;;;;;;;;;;;;x
ability_immolate;Жертвенный огонь;;;;;;;;;;;;;x
ability_immolate_desc;Увеличивает Защиту на 50% на 2 хода.\nВосстановление: 4 хода.;;;;;;;;;;;;;x
ability_wind_blessing;Благословение ветра;;;;;;;;;;;;;x
ability_wind_blessing_desc;Увеличивает Защиту на 50% на 2 хода.\nВосстановление: 4 хода.;;;;;;;;;;;;;x
ability_barkskin;Дубовая кожа;;;;;;;;;;;;;x
ability_barkskin_desc;Увеличивает Защиту на 50% на 2 хода.\nВосстановление: 4 хода.;;;;;;;;;;;;;x
ability_absorption;Поглощение;;;;;;;;;;;;;x
ability_absorption_desc;Дает 50% шанс, что следующий Урон будет полностью поглощен.\nВосстановление: 2 хода.;;;;;;;;;;;;;x
ability_bone_shield;Костяной щит;;;;;;;;;;;;;x
ability_bone_shield_desc;Дает 50% шанс, что следующий Урон будет полностью поглощен.\nВосстановление: 2 хода.;;;;;;;;;;;;;x
ability_frost_armor;Ледяная броня;;;;;;;;;;;;;x
ability_frost_armor_desc;Дает 50% шанс, что следующий Урон будет полностью поглощен.\nВосстановление: 2 хода.;;;;;;;;;;;;;x
ability_shroud_of_shadows;Пелена Теней;;;;;;;;;;;;;x
ability_shroud_of_shadows_desc;Увеличивает Защиту на 50% на 2 хода.\nВосстановление: 4 хода.;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
